Symbol	Estimate	Std. Error	t value	Pr(>|t|)
RP11-368I23.2	-4.21E-05	1.97E-06	-21.35257027	3.92E-86
NA	3.30E-06	5.64E-06	0.583973486	0.559346727
RAB4B	1.00E-06	1.59E-07	6.283083308	4.62E-10
NA	5.50E-06	7.14E-06	0.770001397	0.441448991
TIGAR	8.96E-07	2.05E-07	4.374157408	1.32E-05
RNF44	6.34E-07	9.42E-08	6.725443583	2.69E-11
NA	3.40E-06	1.75E-05	0.194757393	0.845615492
DNAH3	3.88E-06	1.72E-06	2.250705135	0.024582731
RPL23A	1.78E-09	2.89E-09	0.616286479	0.537821094
NA	-1.75E-06	6.13E-07	-2.84687494	0.004489463
NA	1.55E-06	2.35E-06	0.659287156	0.509836527
NA	7.22E-05	6.11E-05	1.181088544	0.237799072
NA	1.78E-06	2.63E-06	0.676536343	0.49882916
ARL8B	1.48E-07	2.72E-08	5.425189474	6.98E-08
NA	-4.31E-06	1.53E-06	-2.82695094	0.004776538
CALB2	-9.80E-08	1.09E-08	-8.972858492	1.07E-18
MFSD3	1.72E-07	2.25E-08	7.643174739	4.29E-14
NA	4.35E-07	5.43E-07	0.800804825	0.423401465
LINC00636	-8.70E-05	4.74E-06	-18.35665068	1.32E-66
PIGV	-4.05E-07	1.31E-07	-3.09582888	0.002007615
NA	-1.21E-05	2.92E-05	-0.415019536	0.678200994
NA	7.22E-07	7.76E-07	0.930263153	0.352419945
NA	2.05E-06	1.95E-06	1.053256088	0.292433396
RP5-1071N3.1	3.44E-07	1.25E-06	0.274502365	0.783745328
NA	4.97E-07	2.04E-05	0.024393075	0.980543084
ZNF708	-6.49E-07	3.12E-07	-2.080685789	0.037672112
CTB-175P5.4	7.44E-07	2.48E-07	2.996687489	0.00278478
NA	-2.32E-05	4.68E-05	-0.496736735	0.619464723
NA	5.83E-06	6.16E-06	0.946363648	0.344151618
MYADML2	-7.19E-07	2.57E-07	-2.797695739	0.005228259
RP4-612B18.4	3.72E-06	1.54E-06	2.41442963	0.015907123
PHEX	6.25E-07	2.29E-07	2.732736107	0.006372308
NA	3.37E-05	1.73E-05	1.952308617	0.05113136
MOGAT2	7.83E-08	1.10E-07	0.71517746	0.474637021
NA	9.32E-08	1.85E-06	0.05037948	0.959828283
PFN2	7.96E-08	1.53E-08	5.203876965	2.29E-07
NA	-5.68E-05	1.08E-05	-5.252809471	1.77E-07
RP11-236J17.3	1.59E-06	2.58E-05	0.061478327	0.950988402
NA	-0.000250911	8.29E-05	-3.025757079	0.002532349
NA	6.49E-06	1.82E-06	3.567421043	0.000374566
RMND5A	-2.13E-07	6.42E-08	-3.319688371	0.000927962
NA	6.29E-07	6.46E-07	0.974531446	0.329987032
NA	1.16E-05	1.40E-05	0.827853483	0.407916322
NA	5.55E-06	3.77E-06	1.473597131	0.140849544
RAD23A	6.53E-08	2.18E-08	2.994595383	0.002803807
NA	1.20E-05	3.80E-06	3.142442614	0.001716028
NA	2.96E-08	4.73E-08	0.625491183	0.531766392
OR2D2	3.98E-06	4.85E-06	0.820114987	0.412311682
SERPINB11	3.95E-07	8.00E-07	0.493304924	0.621886446
NA	9.35E-07	3.11E-06	0.300518182	0.763833427
RP11-725G5.2	2.94E-06	2.38E-06	1.23194004	0.218210239
SIN3B	-1.62E-07	1.38E-07	-1.169389296	0.242476554
NA	1.02E-06	1.61E-06	0.63216759	0.527396504
NA	-6.06E-06	6.73E-06	-0.901218393	0.367651111
NA	5.72E-08	1.07E-06	0.053562239	0.957292762
TLL2	1.00E-05	1.86E-06	5.388995179	8.51E-08
NA	4.47E-06	1.44E-05	0.311107331	0.755772483
NA	-1.24E-05	1.34E-05	-0.925917263	0.354673153
CTSA	1.83E-07	2.87E-08	6.379562761	2.52E-10
NA	8.22E-08	3.73E-08	2.201923458	0.027858394
IL32	8.99E-08	2.12E-08	4.244327321	2.36E-05
RP11-43F13.3	-2.15E-07	2.07E-06	-0.103890776	0.917273201
NA	5.95E-07	8.78E-07	0.678469202	0.497603657
NA	-7.17E-06	2.28E-05	-0.314431243	0.753247602
NA	1.92E-05	1.95E-05	0.989239405	0.322743306
PTPN4	-4.57E-06	3.38E-07	-13.53918451	5.35E-39
NUCB2	1.22E-07	2.19E-08	5.598917164	2.67E-08
NA	5.04E-07	1.11E-07	4.55631877	5.73E-06
SERPINB12	1.91E-07	2.36E-06	0.080959048	0.935487876
NA	2.61E-05	2.21E-05	1.182157457	0.237374913
NA	6.02E-07	9.74E-07	0.6182827	0.536505076
NA	-5.28E-05	7.68E-06	-6.881121456	9.50E-12
TMEM143	-1.93E-06	2.69E-07	-7.167571275	1.32E-12
DACH1	1.50E-07	4.47E-08	3.358697722	0.000807422
NA	7.42E-06	3.07E-05	0.241781885	0.808990043
NA	1.12E-06	1.37E-06	0.819986159	0.412385091
COLCA1	-2.11E-06	3.28E-07	-6.44027515	1.72E-10
NA	8.98E-05	5.97E-05	1.503495313	0.132971664
NA	-1.29E-05	1.60E-05	-0.806967638	0.419843323
NA	1.91E-07	1.77E-07	1.079152211	0.280734414
NA	1.50E-06	2.57E-06	0.582810026	0.560129519
NA	4.56E-07	6.95E-07	0.656028937	0.511929921
FGF23	2.73E-05	2.93E-05	0.931579196	0.351739411
NA	3.50E-07	3.64E-05	0.009625643	0.99232155
SERTAD2	-1.53E-07	8.42E-08	-1.810400222	0.070481098
NA	3.87E-06	7.74E-06	0.50012951	0.617074605
ST3GAL6	-1.10E-06	2.10E-07	-5.210530971	2.21E-07
NA	-4.20E-07	5.00E-07	-0.840203852	0.400959675
NA	2.56E-06	7.02E-06	0.364693811	0.715403548
NA	0	1.453387714	0	1
PKP2	-2.77E-07	1.08E-07	-2.567848047	0.010352114
NA	1.08E-06	9.70E-07	1.11221339	0.266266789
NA	4.96E-06	3.49E-06	1.421566793	0.155409096
NA	9.72E-07	2.49E-06	0.391041096	0.695835532
NA	-1.05E-06	3.40E-07	-3.094912292	0.00201378
NA	5.63E-06	5.34E-06	1.053380379	0.292376474
NA	1.84E-06	4.24E-06	0.433155863	0.664978552
KRT1	5.13E-10	1.48E-09	0.346220171	0.729237299
NA	-6.45E-08	5.06E-07	-0.12751226	0.898556105
NA	3.09E-05	1.88E-05	1.63865957	0.101543506
NA	1.04E-05	9.75E-06	1.065677371	0.28678158
NA	7.24E-06	8.88E-06	0.815692779	0.414836009
NA	9.91E-08	7.08E-07	0.140032781	0.888657338
NA	6.80E-06	3.56E-06	1.910497498	0.056304764
NA	9.96E-06	1.90E-06	5.238770348	1.90E-07
NA	1.06E-05	1.33E-05	0.793384763	0.427708848
NA	4.80E-05	0.000102932	0.466765327	0.640751607
NA	7.65E-07	2.10E-07	3.643686283	0.000280116
NA	3.41E-06	3.78E-06	0.902346033	0.36705222
NA	2.60E-06	5.92E-06	0.438622259	0.661013374
NA	-1.79E-05	3.37E-06	-5.301089433	1.37E-07
NA	-8.40E-08	2.78E-07	-0.30182868	0.762834405
NA	6.90E-06	2.39E-06	2.881983417	0.004021433
SLC45A4	4.82E-07	1.76E-07	2.731429442	0.006397473
NA	0	1.453387714	0	1
NA	-1.00E-05	2.79E-05	-0.359515092	0.719272366
NA	2.07E-06	4.33E-06	0.478992488	0.632030306
MTRF1	-7.99E-07	5.59E-07	-1.429439919	0.153135316
NA	1.63E-05	2.67E-05	0.610017471	0.541964493
NA	1.30E-06	1.32E-06	0.982987651	0.325809536
NA	-9.62E-06	1.60E-05	-0.600886001	0.548028178
NA	7.68E-07	1.01E-06	0.76078038	0.446936114
RP4-635B5.1	1.09E-05	1.66E-05	0.653974482	0.513252205
NA	1.15E-06	2.59E-06	0.44623892	0.655504317
NA	0	1.453387714	0	1
NA	1.30E-06	1.15E-06	1.13494751	0.256621528
NA	-1.64E-05	6.21E-05	-0.264315792	0.791581493
NA	7.25E-06	3.52E-05	0.206028122	0.836803517
NA	-1.04E-08	1.92E-09	-5.425476272	6.97E-08
NA	1.13E-05	6.97E-06	1.6154635	0.106470406
ESM1	7.12E-07	8.11E-08	8.775324825	5.68E-18
NA	0	1.453387714	0	1
NA	1.42E-07	2.50E-06	0.056824931	0.954694013
NA	8.89E-06	1.87E-05	0.474753948	0.635047821
RWDD2A	7.37E-07	2.83E-07	2.606479566	0.009259949
LOC283404	1.69E-06	2.24E-06	0.756108816	0.449730768
RP11-429G19.2	-1.84E-06	2.38E-06	-0.77340343	0.43943435
NA	1.55E-06	1.76E-06	0.879430284	0.3793422
AC096670.3	-2.54E-05	5.81E-06	-4.367889391	1.36E-05
NA	-2.10E-06	5.67E-06	-0.369596721	0.711747507
NA	6.00E-06	1.26E-06	4.755772733	2.21E-06
RP11-760D2.1	7.16E-06	1.41E-05	0.508450418	0.611229958
SCFD2	-4.79E-08	1.64E-07	-0.291641803	0.770610376
NA	-3.01E-06	1.96E-06	-1.537010419	0.124551549
YWHAB	6.63E-08	9.10E-09	7.285145234	5.77E-13
NA	0	1.453387714	0	1
TMEM155	1.23E-05	3.44E-06	3.567069183	0.000375064
NA	4.12E-07	1.85E-07	2.223009756	0.026398878
TOMM40	2.81E-07	2.96E-08	9.506360989	1.02E-20
