study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	library_strategy	read_count	experiment_title	study_title	fastq_ftp
PRJNA266915	SAMN03175430	SRS742713	SRX757564	SRR1648425	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	RNA-Seq	52240817	Illumina HiSeq 2000 sequencing; GSM1543544: RNAseq-P1-T; Homo sapiens; RNA-Seq	Loss of 5-hydroxymethylcytosine is linked to gene body hypermethylation in kidney cancer	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/005/SRR1648425/SRR1648425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/005/SRR1648425/SRR1648425_2.fastq.gz
PRJNA266915	SAMN03175429	SRS742714	SRX757565	SRR1648426	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	RNA-Seq	40174246	Illumina HiSeq 2000 sequencing; GSM1543545: RNAseq-P1-N; Homo sapiens; RNA-Seq	Loss of 5-hydroxymethylcytosine is linked to gene body hypermethylation in kidney cancer	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1648426/SRR1648426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1648426/SRR1648426_2.fastq.gz
PRJNA266915	SAMN03175431	SRS742715	SRX757566	SRR1648427	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	RNA-Seq	39232723	Illumina HiSeq 2000 sequencing; GSM1543546: RNAseq-P2-T; Homo sapiens; RNA-Seq	Loss of 5-hydroxymethylcytosine is linked to gene body hypermethylation in kidney cancer	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1648427/SRR1648427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1648427/SRR1648427_2.fastq.gz
PRJNA266915	SAMN03175432	SRS742716	SRX757567	SRR1648428	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	RNA-Seq	38036904	Illumina HiSeq 2000 sequencing; GSM1543547: RNAseq-P2-N; Homo sapiens; RNA-Seq	Loss of 5-hydroxymethylcytosine is linked to gene body hypermethylation in kidney cancer	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/008/SRR1648428/SRR1648428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/008/SRR1648428/SRR1648428_2.fastq.gz
PRJNA266915	SAMN03198261	SRS745670	SRX761067	SRR1654384	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	OTHER	16323739	Illumina HiSeq 2000 sequencing; GSM1546659: TAB-seq-P1-T; Homo sapiens; OTHER	Loss of 5-hydroxymethylcytosine is linked to gene body hypermethylation in kidney cancer	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1654384/SRR1654384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1654384/SRR1654384_2.fastq.gz
PRJNA266915	SAMN03198261	SRS745670	SRX761067	SRR1654385	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	OTHER	4412400	Illumina HiSeq 2000 sequencing; GSM1546659: TAB-seq-P1-T; Homo sapiens; OTHER	Loss of 5-hydroxymethylcytosine is linked to gene body hypermethylation in kidney cancer	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/005/SRR1654385/SRR1654385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/005/SRR1654385/SRR1654385_2.fastq.gz
PRJNA266915	SAMN03198261	SRS745670	SRX761067	SRR1654386	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	OTHER	189333649	Illumina HiSeq 2000 sequencing; GSM1546659: TAB-seq-P1-T; Homo sapiens; OTHER	Loss of 5-hydroxymethylcytosine is linked to gene body hypermethylation in kidney cancer	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/006/SRR1654386/SRR1654386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/006/SRR1654386/SRR1654386_2.fastq.gz
PRJNA266915	SAMN03198261	SRS745670	SRX761067	SRR1654387	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	OTHER	123131563	Illumina HiSeq 2000 sequencing; GSM1546659: TAB-seq-P1-T; Homo sapiens; OTHER	Loss of 5-hydroxymethylcytosine is linked to gene body hypermethylation in kidney cancer	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/007/SRR1654387/SRR1654387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/007/SRR1654387/SRR1654387_2.fastq.gz
PRJNA266915	SAMN03198262	SRS745671	SRX761068	SRR1654388	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	OTHER	16129981	Illumina HiSeq 2000 sequencing; GSM1546660: TAB-seq-P1-N; Homo sapiens; OTHER	Loss of 5-hydroxymethylcytosine is linked to gene body hypermethylation in kidney cancer	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/008/SRR1654388/SRR1654388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/008/SRR1654388/SRR1654388_2.fastq.gz
PRJNA266915	SAMN03198262	SRS745671	SRX761068	SRR1654389	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	OTHER	27674707	Illumina HiSeq 2000 sequencing; GSM1546660: TAB-seq-P1-N; Homo sapiens; OTHER	Loss of 5-hydroxymethylcytosine is linked to gene body hypermethylation in kidney cancer	ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/009/SRR1654389/SRR1654389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/009/SRR1654389/SRR1654389_2.fastq.gz
