id	filename	md5	size	state
46fa5aec-096d-4f5d-987f-9b9e5a56511b	TCGA-PG-A5BC-01Z-00-DX5.5D10994A-40E6-4327-A9C0-6FEA2AC6B771.svs	f0d5941a02eec4ebcde3139e51c97445	1973464489	released
2198654c-8a8d-4733-8a09-fd8cb917718c	TCGA-AJ-A3OK-01Z-00-DX1.F8611C3B-1FED-4F44-B614-9CE3AB57BE37.svs	92d9cdfff00f92b8b72f974df9dfb912	309030388	released
e9b88de2-e61b-46fb-8199-946be1b302ad	TCGA-D1-A16Q-01Z-00-DX1.CB6D966C-8FE3-4AD3-B844-D84A87F3A196.svs	1d8a7713b8210d7ac3226ae56593ddb9	1042024447	released
f9768545-b1a4-4046-aec1-70c22c42a624	TCGA-BS-A0TD-01Z-00-DX1.27779632-D366-418A-8B5B-8DBA9A9F9A09.svs	c73fab3b9b5b459a327390843fab7970	1552746869	released
f200ecec-2a27-4f9e-b646-f8b937edbf36	TCGA-BK-A6W3-01Z-00-DX1.91EB5717-F6E5-46F0-B8CB-F06FE67B1B2F.svs	c6f08dde0c015f1ccfec69c2ea815074	355484419	released
95886159-6b3e-4ec3-bde8-649b060fd9ba	TCGA-AJ-A8CT-01Z-00-DX1.AF5525C7-C269-48FF-BF98-9AA8547CBDD8.svs	fa875a5115ad97b2bad580bd8c0fae5c	283366172	released
08767920-e9b6-4bda-b409-680c208b829e	TCGA-DI-A2QT-01Z-00-DX1.2F4FAB33-84AF-4F57-8555-1A97DBE68E42.svs	ce8eb3992c97f4aee548d51b13eecc86	1897288197	released
6794d573-1db3-4400-b981-526fbea2d49d	TCGA-AP-A0LG-01Z-00-DX1.85966119-6AB0-43FD-88E8-D260059F9F4C.svs	54f37f5331a3c904e00f87348c2e0ed3	729166393	released
2e6c82e6-315a-4e07-9863-02f673057656	TCGA-A5-A2K3-01Z-00-DX1.5D984ED9-7D38-4816-9477-EF9EC9DD993A.svs	bb80c6a073589346d1a1da85b4351d6f	2736342007	released
3a0e1191-cb2c-4795-95a7-9862632fed95	TCGA-A5-A0GB-01Z-00-DX1.5B2568B9-F9D6-41AC-A5E9-695A3E7BA751.svs	e06436a3c9bd4b916711cee53e4fafb8	1680739123	released
8619a50c-92f2-436a-ac75-aa78d169d7b1	TCGA-AX-A1CC-01Z-00-DX2.9DBD4FAD-5E16-450D-8B8F-CCDD34A211F1.svs	09a49a8eec1adb63bf0d487de0d914eb	1303006996	released
82ffa041-c801-4210-bfe7-f3846b4b760b	TCGA-D1-A102-01Z-00-DX1.13029F09-CF07-49B5-B5C7-89AABD928BF5.svs	3564e1bfaef7ebf928b2b310519ed988	2001161537	released
