cg01228352 SELT
cg01385367 SLC25A30
cg01428361 RSAD1
cg01971363 SLC4A2
cg02715006 PCDHGA4
cg02831294 CALML3
cg03153397 LRRC48
cg04419707 RPL3
cg04442796 NA
cg05362516 IRX5
cg06277900 HSF4
cg07006183 TRERF1
cg08198280 TFF3
cg08335854 LOC285696
cg09026224 C5orf41
cg09395969 EDC4
cg10772923 HNRNPUL1
cg10842588 IGF2R
cg11115582 NA
cg11186850 ADAM2
cg11865600 MORC4
cg11910223 CXXC5
cg12280168 ZNF57
cg14524724 NA
cg14959908 EBF4
cg14967020 PHF21B
cg15650694 SFRS12
cg16296724 DENR
cg16371956 C14orf4
cg16410796 SNTG2
cg16446824 SEMA6A
cg17738194 GK2
cg17940762 NA
cg17947156 NBPF22P
cg18096987 VGLL4
cg18936052 FAM76A
cg20113824 NA
cg20618610 NA
cg21272279 GLIPR1L2
cg21725374 KIAA1875
cg21940042 ZNF69
cg22702025 PGLYRP3
cg26882410 AGT
cg26894841 DEF8
cg26967842 PTPRN2
cg27550984 ROBLD3
cg27565719 ZNF350
