File accession	Experiment accession	Biosample term id	Biosample term name	Biosample type	Library made from	Project	Derived from	Size	Lab	md5sum	File download URL	Assembly
ENCFF294WWV	ENCSR634GFF	UBERON:0001043	esophagus	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF247LYJ, ENCFF794BXD	5483329556	ENCODE Processing Pipeline	4afb4e014b576b86254c52a9da79c26f	https://www.encodeproject.org/files/ENCFF294WWV/@@download/ENCFF294WWV.bigWig	GRCh38
ENCFF402PAI	ENCSR626YZN	UBERON:0002080	heart right ventricle	tissue	DNA	Roadmap	ENCFF055IQZ, ENCFF246HVP, ENCFF338XGV, ENCFF663LBM, ENCFF805HPH	8338614391	ENCODE Processing Pipeline	0536516cc253f82c29c6d153f736c406	https://www.encodeproject.org/files/ENCFF402PAI/@@download/ENCFF402PAI.bigWig	GRCh38
ENCFF785TFN	ENCSR141JKC	UBERON:0008450	psoas muscle	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF308URY, ENCFF812REK	5502850654	ENCODE Processing Pipeline	b7fcdea88cf460d0f3a4e0f559758523	https://www.encodeproject.org/files/ENCFF785TFN/@@download/ENCFF785TFN.bigWig	GRCh38
ENCFF025PVV	ENCSR265ZHH	UBERON:0002108	small intestine	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF520PHX, ENCFF848HWO, ENCFF995SGT	8422210784	ENCODE Processing Pipeline	5016d407b3c8e4d18f90910545820640	https://www.encodeproject.org/files/ENCFF025PVV/@@download/ENCFF025PVV.bigWig	GRCh38
ENCFF804ITM	ENCSR925GVY	UBERON:0002078	right cardiac atrium	tissue	DNA	Roadmap	ENCFF012ERG, ENCFF246HVP, ENCFF724EVE, ENCFF735DJH	8312621107	ENCODE Processing Pipeline	2ffaa13185936c22580ea903391c7f80	https://www.encodeproject.org/files/ENCFF804ITM/@@download/ENCFF804ITM.bigWig	GRCh38
ENCFF108OVY	ENCSR405XVT	UBERON:0001264	pancreas	tissue	DNA	Roadmap	ENCFF027YKJ, ENCFF246HVP, ENCFF566ITI	5453428648	ENCODE Processing Pipeline	0ea7bd20174c3501f3aee05194198a76	https://www.encodeproject.org/files/ENCFF108OVY/@@download/ENCFF108OVY.bigWig	GRCh38
ENCFF029LVQ	ENCSR914REH	UBERON:0002370	thymus	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF296OAY, ENCFF674DYK	8079559675	ENCODE Processing Pipeline	3beab7cc37cb44c38ef1d25d60bb1672	https://www.encodeproject.org/files/ENCFF029LVQ/@@download/ENCFF029LVQ.bigWig	GRCh38
ENCFF992IXV	ENCSR022QUM	UBERON:0002369	adrenal gland	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF538VBI, ENCFF576YUB, ENCFF931UCU	8219894254	ENCODE Processing Pipeline	d89be9e5901d2467315b94f67abdeb64	https://www.encodeproject.org/files/ENCFF992IXV/@@download/ENCFF992IXV.bigWig	GRCh38
ENCFF945PUR	ENCSR331PWE	UBERON:0001159	sigmoid colon	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF570HVV, ENCFF930VIL	8276507217	ENCODE Processing Pipeline	6774d7dc32e2b1e80cf6feb21fcbda5d	https://www.encodeproject.org/files/ENCFF945PUR/@@download/ENCFF945PUR.bigWig	GRCh38
ENCFF307QSV	ENCSR012TGL	UBERON:0002084	heart left ventricle	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF382MFI, ENCFF501IFY, ENCFF984GJM	8475434753	ENCODE Processing Pipeline	beeb6814623e3f16c2eba12592413e91	https://www.encodeproject.org/files/ENCFF307QSV/@@download/ENCFF307QSV.bigWig	GRCh38
ENCFF968RMN	ENCSR517TCG	UBERON:0001013	adipose tissue	tissue	DNA	Roadmap	ENCFF069MOF, ENCFF246HVP, ENCFF420PTH	5468233329	ENCODE Processing Pipeline	afba596111a7fad8d704cc939736b152	https://www.encodeproject.org/files/ENCFF968RMN/@@download/ENCFF968RMN.bigWig	GRCh38
ENCFF939DFV	ENCSR781LIC	UBERON:0001264	pancreas	tissue	DNA	Roadmap	ENCFF129FXM, ENCFF246HVP, ENCFF860VOZ	8441469514	ENCODE Processing Pipeline	cd60e6b377e7e7f3ecf0265daa11c23a	https://www.encodeproject.org/files/ENCFF939DFV/@@download/ENCFF939DFV.bigWig	GRCh38
ENCFF574CIC	ENCSR442IUA	UBERON:0002080	heart right ventricle	tissue	DNA	Roadmap	ENCFF151RSB, ENCFF246HVP, ENCFF732MWA	5602976353	ENCODE Processing Pipeline	ad99542c50818359db94756e159747df	https://www.encodeproject.org/files/ENCFF574CIC/@@download/ENCFF574CIC.bigWig	GRCh38
ENCFF328YEO	ENCSR305VIT	UBERON:0000992	ovary	tissue	DNA	ENCODE	ENCFF161MAN, ENCFF838SMZ	7776464584	ENCODE Processing Pipeline	30ad0447be484814a45be768bf116739	https://www.encodeproject.org/files/ENCFF328YEO/@@download/ENCFF328YEO.bigWig	GRCh38
ENCFF150FCJ	ENCSR224CTR	UBERON:0008952	upper lobe of left lung	tissue	DNA	ENCODE	ENCFF161MAN, ENCFF256KGO	5495025959	ENCODE Processing Pipeline	cb5c9a51e62fc1f8d62a5ab05fa691de	https://www.encodeproject.org/files/ENCFF150FCJ/@@download/ENCFF150FCJ.bigWig	GRCh38
ENCFF668VFA	ENCSR806NNG	UBERON:0000473	testis	tissue	DNA	ENCODE	ENCFF161MAN, ENCFF347YMS	7882881774	ENCODE Processing Pipeline	7ef7b7456082ebafcfcb5203babca17b	https://www.encodeproject.org/files/ENCFF668VFA/@@download/ENCFF668VFA.bigWig	GRCh38
ENCFF846IMY	ENCSR129YRJ	UBERON:0000945	stomach	tissue	DNA	Roadmap	ENCFF161MAN, ENCFF969XDH	4598917452	ENCODE Processing Pipeline	7c49e7be466faf788d02ca8471999668	https://www.encodeproject.org/files/ENCFF846IMY/@@download/ENCFF846IMY.bigWig	GRCh38
ENCFF992CLD	ENCSR848CUY	UBERON:0000945	stomach	tissue	DNA	Roadmap	ENCFF146FBV, ENCFF246HVP, ENCFF689NEU	5536757139	ENCODE Processing Pipeline	5da97c1b38546ade69f3521537248af0	https://www.encodeproject.org/files/ENCFF992CLD/@@download/ENCFF992CLD.bigWig	GRCh38
ENCFF764SSM	ENCSR658MZU	UBERON:0001323	tibial nerve	tissue	DNA	ENCODE	ENCFF161MAN, ENCFF480VWO	5622984028	ENCODE Processing Pipeline	56d908e9fb3c6d578c85eae4c9847887	https://www.encodeproject.org/files/ENCFF764SSM/@@download/ENCFF764SSM.bigWig	GRCh38
ENCFF113RLV	ENCSR752OCM	UBERON:0001323	tibial nerve	tissue	DNA	ENCODE	ENCFF107WIQ, ENCFF161MAN	7793856025	ENCODE Processing Pipeline	29ef295ec80eac9d602e00d7247f36ac	https://www.encodeproject.org/files/ENCFF113RLV/@@download/ENCFF113RLV.bigWig	GRCh38
ENCFF635TQS	ENCSR598OBF	UBERON:0000945	stomach	tissue	DNA	ENCODE	ENCFF161MAN, ENCFF422NYP	5569671398	ENCODE Processing Pipeline	acd88a5bd992cd6025a2d79e96dca749	https://www.encodeproject.org/files/ENCFF635TQS/@@download/ENCFF635TQS.bigWig	GRCh38
ENCFF213FPF	ENCSR987GWQ	UBERON:0001159	sigmoid colon	tissue	DNA	Roadmap	ENCFF194SXB, ENCFF246HVP, ENCFF705LNO	8424145675	ENCODE Processing Pipeline	097419f022870ef126d0a684bede3bd6	https://www.encodeproject.org/files/ENCFF213FPF/@@download/ENCFF213FPF.bigWig	GRCh38
ENCFF537NCQ	ENCSR522UKJ	UBERON:0002108	small intestine	tissue	DNA	Roadmap	ENCFF161MAN, ENCFF663LSZ	5127680363	ENCODE Processing Pipeline	c09c54d6a165cdc46196e3e8eef07b33	https://www.encodeproject.org/files/ENCFF537NCQ/@@download/ENCFF537NCQ.bigWig	GRCh38
ENCFF249IVT	ENCSR556KEJ	UBERON:0002048	lung	tissue	DNA	Roadmap	ENCFF036ODG, ENCFF246HVP, ENCFF780CEC	8297461461	ENCODE Processing Pipeline	631c8c611c24f5241aceb958eee5987f	https://www.encodeproject.org/files/ENCFF249IVT/@@download/ENCFF249IVT.bigWig	GRCh38
ENCFF990HTE	ENCSR797TEV	UBERON:0002048	lung	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF581MVM, ENCFF865VQL	5384558190	ENCODE Processing Pipeline	80aca2c2f6c7761050882b07621254a4	https://www.encodeproject.org/files/ENCFF990HTE/@@download/ENCFF990HTE.bigWig	GRCh38
ENCFF746ZTE	ENCSR357BWB	UBERON:0002108	small intestine	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF675AAS, ENCFF969EWC	5330534131	ENCODE Processing Pipeline	4fe2a628cc2810c92fad0ba64bae163e	https://www.encodeproject.org/files/ENCFF746ZTE/@@download/ENCFF746ZTE.bigWig	GRCh38
ENCFF477JAE	ENCSR893BUA	UBERON:0000947	aorta	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF375RJP, ENCFF888GNX	5413453663	ENCODE Processing Pipeline	1ce1c86b5d1a844d991de1d2b2a54d7d	https://www.encodeproject.org/files/ENCFF477JAE/@@download/ENCFF477JAE.bigWig	GRCh38
ENCFF884KSN	ENCSR539UBP	UBERON:0001013	adipose tissue	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF272PBZ, ENCFF490FOO, ENCFF974OSM	8300641132	ENCODE Processing Pipeline	c654a9fca58d7d35a264ee4996465128	https://www.encodeproject.org/files/ENCFF884KSN/@@download/ENCFF884KSN.bigWig	GRCh38
ENCFF140BNH	ENCSR724NZL	UBERON:0002370	thymus	tissue	DNA	Roadmap	ENCFF161MAN, ENCFF545OQL	3978824978	ENCODE Processing Pipeline	e3d85771e51c91b915cce45d81d1e6fc	https://www.encodeproject.org/files/ENCFF140BNH/@@download/ENCFF140BNH.bigWig	GRCh38
ENCFF039FRP	ENCSR862LLM	UBERON:0002106	spleen	tissue	DNA	Roadmap	ENCFF035IUM, ENCFF246HVP, ENCFF342EMY	5550035875	ENCODE Processing Pipeline	67283509fc976388d5aba0eb3c5f480a	https://www.encodeproject.org/files/ENCFF039FRP/@@download/ENCFF039FRP.bigWig	GRCh38
ENCFF050KHZ	ENCSR113KSF	UBERON:0002108	small intestine	tissue	DNA	Roadmap	ENCFF109IEE, ENCFF231KBM, ENCFF246HVP	5350667295	ENCODE Processing Pipeline	7a2c635c64d042e2f650e83264c76a38	https://www.encodeproject.org/files/ENCFF050KHZ/@@download/ENCFF050KHZ.bigWig	GRCh38
ENCFF974NRU	ENCSR681FHD	UBERON:0002369	adrenal gland	tissue	DNA	Roadmap	ENCFF161MAN, ENCFF285ZGH	4000069294	ENCODE Processing Pipeline	b49356284f94280ab365aed4cff29d46	https://www.encodeproject.org/files/ENCFF974NRU/@@download/ENCFF974NRU.bigWig	GRCh38
ENCFF276VKS	ENCSR577RUU	UBERON:0000945	stomach	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF297RGZ, ENCFF639KSF	5527111442	ENCODE Processing Pipeline	cc8e560b729fd414300546f636f172bf	https://www.encodeproject.org/files/ENCFF276VKS/@@download/ENCFF276VKS.bigWig	GRCh38
ENCFF700AQS	ENCSR675POY	UBERON:0002369	adrenal gland	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF675PWE, ENCFF703MUJ	5546346017	ENCODE Processing Pipeline	5cecb5091cb21ce3d4136aa2e9de715c	https://www.encodeproject.org/files/ENCFF700AQS/@@download/ENCFF700AQS.bigWig	GRCh38
ENCFF932VUM	ENCSR462KQY	UBERON:0000059	large intestine	tissue	DNA	Roadmap	ENCFF094JOX, ENCFF161MAN	5563254779	ENCODE Processing Pipeline	770c31fe3cc81fe4acc83c24c1234363	https://www.encodeproject.org/files/ENCFF932VUM/@@download/ENCFF932VUM.bigWig	GRCh38
ENCFF434VBG	ENCSR579AXB	UBERON:0002084	heart left ventricle	tissue	DNA	Roadmap	ENCFF093BBI, ENCFF246HVP, ENCFF479WOW	8552748768	ENCODE Processing Pipeline	1515ff4cb50320c0ffd6ce5ab5c3ae3a	https://www.encodeproject.org/files/ENCFF434VBG/@@download/ENCFF434VBG.bigWig	GRCh38
ENCFF422YPS	ENCSR652ELW	UBERON:0002106	spleen	tissue	DNA	Roadmap	ENCFF129CBM, ENCFF246HVP, ENCFF722OJB	8273704198	ENCODE Processing Pipeline	76c8389287fa627c4a6cb06d60889fe0	https://www.encodeproject.org/files/ENCFF422YPS/@@download/ENCFF422YPS.bigWig	GRCh38
ENCFF252YGC	ENCSR451ZUG	UBERON:0001383	muscle of leg	tissue	DNA	Roadmap	ENCFF161MAN, ENCFF316GOO	3951990741	ENCODE Processing Pipeline	768fd7aa89407023b988cecd547119bf	https://www.encodeproject.org/files/ENCFF252YGC/@@download/ENCFF252YGC.bigWig	GRCh38
ENCFF363UDK	ENCSR417YFD	UBERON:0000992	ovary	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF294ZJM, ENCFF980COG	8282332615	ENCODE Processing Pipeline	7ace7771e7e561c32bff34cd1cbad88d	https://www.encodeproject.org/files/ENCFF363UDK/@@download/ENCFF363UDK.bigWig	GRCh38
ENCFF238VMR	ENCSR414XEF	UBERON:0008450	psoas muscle	tissue	DNA	Roadmap	ENCFF165QNS, ENCFF246HVP, ENCFF512FUD	5536685648	ENCODE Processing Pipeline	e5ac60594515074647be360250841ad4	https://www.encodeproject.org/files/ENCFF238VMR/@@download/ENCFF238VMR.bigWig	GRCh38
ENCFF450MGR	ENCSR317JGM	UBERON:0002106	spleen	tissue	DNA	Roadmap	ENCFF076KAT, ENCFF246HVP, ENCFF548BFU	5491837004	ENCODE Processing Pipeline	b5f3da6a2aff6ef088ac46671904ef9d	https://www.encodeproject.org/files/ENCFF450MGR/@@download/ENCFF450MGR.bigWig	GRCh38
ENCFF561WQA	ENCSR559QOU	UBERON:0001043	esophagus	tissue	DNA	Roadmap	ENCFF231CCQ, ENCFF246HVP, ENCFF367QNV	8309472037	ENCODE Processing Pipeline	f10abe62343cd1a1c617fdc2b03acb1c	https://www.encodeproject.org/files/ENCFF561WQA/@@download/ENCFF561WQA.bigWig	GRCh38
ENCFF250HPC	ENCSR458MAV	UBERON:0002240	spinal cord	tissue	DNA	Roadmap	ENCFF031ZCF, ENCFF161MAN	4286470368	ENCODE Processing Pipeline	228fe4273211ed4f6d5e9d48d4734781	https://www.encodeproject.org/files/ENCFF250HPC/@@download/ENCFF250HPC.bigWig	GRCh38
ENCFF524MTO	ENCSR741FVM	UBERON:0002369	adrenal gland	tissue	DNA	ENCODE	ENCFF026EHN, ENCFF161MAN	5429060240	ENCODE Processing Pipeline	46eb67277fb91ecfc758a89c4ded2e49	https://www.encodeproject.org/files/ENCFF524MTO/@@download/ENCFF524MTO.bigWig	GRCh38
ENCFF615HLJ	ENCSR739XWV	UBERON:0001987	placenta	tissue	DNA	Roadmap	ENCFF161MAN, ENCFF239DTC	4528960989	ENCODE Processing Pipeline	9a733b3adc3b12e7186cf09888c89144	https://www.encodeproject.org/files/ENCFF615HLJ/@@download/ENCFF615HLJ.bigWig	GRCh38
ENCFF267XIO	ENCSR674VXR	UBERON:0008952	upper lobe of left lung	tissue	DNA	ENCODE	ENCFF071PJF, ENCFF161MAN	5563492870	ENCODE Processing Pipeline	4f2b8af881131d183bae190a848600b5	https://www.encodeproject.org/files/ENCFF267XIO/@@download/ENCFF267XIO.bigWig	GRCh38
ENCFF107RMQ	ENCSR699ETV	UBERON:0000948	heart	tissue	DNA	Roadmap	ENCFF161MAN, ENCFF759MZT	4848759014	ENCODE Processing Pipeline	59368f38987f2ba19746bb8e82468bf7	https://www.encodeproject.org/files/ENCFF107RMQ/@@download/ENCFF107RMQ.bigWig	GRCh38
ENCFF360EGM	ENCSR608JPV	UBERON:0001013	adipose tissue	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF501PAS, ENCFF502RJT	5474146536	ENCODE Processing Pipeline	614055699af44e5fe418778643873ee4	https://www.encodeproject.org/files/ENCFF360EGM/@@download/ENCFF360EGM.bigWig	GRCh38
ENCFF352CJO	ENCSR999RWT	UBERON:0000945	stomach	tissue	DNA	Roadmap	ENCFF246HVP, ENCFF553DNR, ENCFF661GJC, ENCFF737XVC	8128088324	ENCODE Processing Pipeline	20ef351d70a05e678fc374f8c5b50a26	https://www.encodeproject.org/files/ENCFF352CJO/@@download/ENCFF352CJO.bigWig	GRCh38
ENCFF033AVL	ENCSR403DTW	UBERON:0002046	thyroid gland	tissue	DNA	ENCODE	ENCFF161MAN, ENCFF360RJH	7783367906	ENCODE Processing Pipeline	38baf53232b62aea5fa8012e10dfc835	https://www.encodeproject.org/files/ENCFF033AVL/@@download/ENCFF033AVL.bigWig	GRCh38
ENCFF746OQX	ENCSR779PPR	UBERON:0002367	prostate gland	tissue	DNA	ENCODE	ENCFF161MAN, ENCFF955LGG	5644119044	ENCODE Processing Pipeline	35960ee63516732d748eedfc938740a5	https://www.encodeproject.org/files/ENCFF746OQX/@@download/ENCFF746OQX.bigWig	GRCh38
ENCFF423DUD	ENCSR042LOG	UBERON:0002369	adrenal gland	tissue	DNA	ENCODE	ENCFF017VCY, ENCFF161MAN	5594784054	ENCODE Processing Pipeline	3337b54c31f665085548a134c0fd7da0	https://www.encodeproject.org/files/ENCFF423DUD/@@download/ENCFF423DUD.bigWig	GRCh38
ENCFF448PPG	ENCSR682WKG	UBERON:0001774	muscle of trunk	tissue	DNA	Roadmap	ENCFF161MAN, ENCFF793ZGA	4454875273	ENCODE Processing Pipeline	e11372586a0fa0973e75f9b2abadb8c4	https://www.encodeproject.org/files/ENCFF448PPG/@@download/ENCFF448PPG.bigWig	GRCh38
ENCFF622KZK	ENCSR996BJT	UBERON:0001150	body of pancreas	tissue	DNA	ENCODE	ENCFF161MAN, ENCFF296WTY	5412945807	ENCODE Processing Pipeline	00d92ddc695dbdb93bca97fbc92b0323	https://www.encodeproject.org/files/ENCFF622KZK/@@download/ENCFF622KZK.bigWig	GRCh38
ENCFF324PAY	ENCSR344YUA	UBERON:0001150	body of pancreas	tissue	DNA	ENCODE	ENCFF027NZV, ENCFF161MAN	5493772021	ENCODE Processing Pipeline	397dc4d6c75a5fda5307210a190b57d4	https://www.encodeproject.org/files/ENCFF324PAY/@@download/ENCFF324PAY.bigWig	GRCh38
ENCFF931OQL	ENCSR601MHU	UBERON:0002046	thyroid gland	tissue	DNA	ENCODE	ENCFF161MAN, ENCFF975CHZ	5673035659	ENCODE Processing Pipeline	e15bc7f3e54b86ca3bcfb0bdca66386f	https://www.encodeproject.org/files/ENCFF931OQL/@@download/ENCFF931OQL.bigWig	GRCh38
ENCFF008CKL	ENCSR128RMY	UBERON:0004264	lower leg skin	tissue	DNA	ENCODE	ENCFF161MAN, ENCFF307ZEE	7744812078	ENCODE Processing Pipeline	5f09392962f7969e3e0379cb332994a1	https://www.encodeproject.org/files/ENCFF008CKL/@@download/ENCFF008CKL.bigWig	GRCh38
