	P	delta	Mean_X1	Mean_X2	SD_X1	SD_X2	Symbol.GeneSymbol	Symbol.EnsemblGeneID
ENSG00000157764	8.715567e-01	-0.005	16.609	16.614	0.303	0.308	BRAF	ENSG00000157764
ENSG00000164362	8.497011e-01	0.078	3.561	3.483	4.363	4.511	TERT	ENSG00000164362
ENSG00000169375	3.426424e-01	0.028	17.386	17.358	0.311	0.331	SIN3A	ENSG00000169375
ENSG00000103495	7.541138e-01	0.013	17.864	17.852	0.427	0.456	MAZ	ENSG00000103495
ENSG00000119950	4.856936e-01	0.034	18.425	18.391	0.481	0.549	MXI1	ENSG00000119950
ENSG00000181222	6.736212e-01	0.017	19.633	19.616	0.439	0.433	POLR2A_1	ENSG00000181222
ENSG00000125952	5.006635e-01	-0.018	18.671	18.689	0.241	0.312	MAX	ENSG00000125952
ENSG00000117222	5.957974e-01	0.013	17.318	17.306	0.251	0.258	RBBP5	ENSG00000117222
ENSG00000173575	5.060141e-01	0.023	17.579	17.556	0.347	0.379	CHD2	ENSG00000173575
ENSG00000154727	4.005772e-01	0.03	17.328	17.298	0.394	0.378	GABPA	ENSG00000154727
ENSG00000136997	1.130864e-01	-0.171	16.946	17.117	1.123	1.182	MYC	ENSG00000136997
ENSG00000205250	4.686606e-01	-0.016	18.364	18.38	0.237	0.232	E2F4	ENSG00000205250
ENSG00000147133	3.05095e-01	0.046	16.821	16.775	0.468	0.498	TAF1	ENSG00000147133
ENSG00000134107	1.018354e-01	-0.183	20.468	20.651	1.238	1.181	BHLHE40	ENSG00000134107
ENSG00000105698	1.783277e-01	-0.044	19.349	19.393	0.331	0.367	USF2	ENSG00000105698
ENSG00000158773	8.178064e-01	-0.009	18.795	18.805	0.396	0.455	USF1	ENSG00000158773
ENSG00000169016	8.309414e-01	0.005	15.971	15.966	0.247	0.26	E2F6	ENSG00000169016
ENSG00000134954	2.009001e-01	0.087	18.66	18.573	0.669	0.772	ETS1	ENSG00000134954
ENSG00000157557	5.974295e-01	-0.025	18.706	18.731	0.452	0.542	ETS2	ENSG00000157557
ENSG00000157554	2.390469e-01	0.084	15.592	15.508	0.701	0.802	ERG	ENSG00000157554
ENSG00000151702	9.07722e-02	0.119	15.677	15.558	0.688	0.797	FLI1	ENSG00000151702
ENSG00000163497	4.66508e-01	0.278	3.587	3.309	4.141	4.094	FEV	ENSG00000163497
ENSG00000099617	3.870747e-01	0.397	6.271	5.874	4.811	5.021	EFNA2	ENSG00000099617
ENSG00000109381	1.578279e-01	0.042	16.532	16.491	0.363	0.283	ELF2	ENSG00000109381
ENSG00000102034	7.510534e-01	-0.026	16.117	16.143	0.878	0.907	ELF4	ENSG00000102034
ENSG00000163435	3.145266e-01	-0.153	16.574	16.727	1.558	1.695	ELF3	ENSG00000163435
ENSG00000135374	2.531059e-01	0.293	8.409	8.117	2.688	2.801	ELF5	ENSG00000135374
ENSG00000135373	4.647553e-01	0.133	15.056	14.923	1.993	1.945	EHF	ENSG00000135373
ENSG00000117036	6.498808e-01	-0.019	16.496	16.514	0.427	0.456	ETV3	ENSG00000117036
ENSG00000105722	4.493267e-01	-0.033	18.404	18.437	0.437	0.49	ERF	ENSG00000105722
ENSG00000139083	7.152915e-01	0.012	17.093	17.081	0.346	0.343	ETV6	ENSG00000139083
ENSG00000010030	4.15316e-01	0.125	14.952	14.827	1.665	1.643	ETV7	ENSG00000010030
ENSG00000175832	3.76054e-01	-0.14	17.572	17.712	1.651	1.736	ETV4	ENSG00000175832
ENSG00000105672	5.786296e-01	0.044	12.926	12.882	0.853	0.869	ETV2	ENSG00000105672
ENSG00000006468	8.954363e-01	0.012	16.603	16.591	0.943	0.986	ETV1	ENSG00000006468
ENSG00000244405	9.99337e-01	0	18.243	18.244	0.902	0.909	ETV5	ENSG00000244405
ENSG00000066336	7.612011e-01	0.037	17.193	17.156	1.329	1.271	SPI1	ENSG00000066336
ENSG00000269404	2.702453e-01	0.28	11.047	10.767	2.742	2.727	SPIB	ENSG00000269404
ENSG00000166211	8.080399e-01	0.112	4.217	4.105	5.009	4.934	SPIC	ENSG00000166211
ENSG00000126767	2.898973e-01	-0.035	17.839	17.874	0.347	0.361	ELK1	ENSG00000126767
ENSG00000158711	5.04645e-01	0.024	16.219	16.195	0.418	0.376	ELK4	ENSG00000158711
ENSG00000111145	8.829616e-01	-0.008	18.671	18.679	0.563	0.621	ELK3	ENSG00000111145
ENSG00000124664	3.215242e-03	-0.512	10.077	10.589	2.199	1.605	SPDEF	ENSG00000124664
