Sample	Method	Source	Tissue of origin prediction training	Tissue type	Tissue
N37-Cerebellum (CRBL)	WGBS	This study (UCSD_ZhangLab)	Yes	normal tissue	Cerebellum
N37-Colon	WGBS	This study (UCSD_ZhangLab)	Yes	normal tissue	Colon
N37-Frontal lobe(FL)	WGBS	This study (UCSD_ZhangLab)	Yes	normal tissue	Frontal lobe
N37-Heart	WGBS	This study (UCSD_ZhangLab)	No	normal tissue	Heart
N37-Small intestine(SI)	WGBS	This study (UCSD_ZhangLab)	Yes	normal tissue	Small intestine
N37-Liver	WGBS	This study (UCSD_ZhangLab)	Yes	normal tissue	Liver
N37-Lung	WGBS	This study (UCSD_ZhangLab)	Yes	normal tissue	Lung
N37-Skeletal muscle(SM)	WGBS	This study (UCSD_ZhangLab)	No	normal tissue	Skeletal muscle
N37-Pancreas	WGBS	This study (UCSD_ZhangLab)	Yes	normal tissue	Pancreas
N37-Stomach	WGBS	This study (UCSD_ZhangLab)	Yes	normal tissue	Stomach
methylC-seq_h1+bmp4_r1	WGBS	PMCID:PMC3786220	No	stem cells and progenitors	embryonic stem cells derived
methylC-seq_h1+bmp4_r2	WGBS	PMCID:PMC3786220	No	stem cells and progenitors	embryonic stem cells derived
methylC-seq_h1-msc_r1	WGBS	PMCID:PMC3786220	No	stem cells and progenitors	embryonic stem cells derived
methylC-seq_h1-msc_r2	WGBS	PMCID:PMC3786220	No	stem cells and progenitors	embryonic stem cells derived
methylC-seq_h1-npc_r1	WGBS	PMCID:PMC3786220	No	stem cells and progenitors	embryonic stem cells derived
methylC-seq_h1-npc_r2	WGBS	PMCID:PMC3786220	No	stem cells and progenitors	embryonic stem cells derived
methylC-seq_h1_mesendoderm_r1	WGBS	PMCID:PMC3786220	No	stem cells and progenitors	embryonic stem cells derived
methylC-seq_h1_mesendoderm_r2	WGBS	PMCID:PMC3786220	No	stem cells and progenitors	embryonic stem cells derived
methylC-seq_h1_r1	WGBS	PMCID:PMC3786220	No	stem cells and progenitors	embryonic stem cells derived
methylC-seq_h1_r2	WGBS	PMCID:PMC3786220	No	stem cells and progenitors	embryonic stem cells derived
Centenarian	WGBS	PMID:22689993	Yes	normal tissue	white blood cells
Middle-age	WGBS	PMID:22689993	Yes	normal tissue	white blood cells
New-born	WGBS	PMID:22689993	Yes	normal tissue	white blood cells
Colon_primary_tumor	WGBS	PMID:23925113	No	primary tumor tissue	primary colon tumor
