ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
ILMN_1672660	0.00227	4.79E-08	13.8786159	2.1847	1.49866297	MBP
ILMN_2347798	0.01085	4.59E-07	11.0188934	1.7464	1.88634292	IFI6
ILMN_1687384	0.09138	8.41E-06	8.0835151	0.919	1.13407937	IFI6
ILMN_3232156	0.09138	9.03E-06	8.020194	0.8943	1.07174062	CPED1
ILMN_1751607	0.09138	9.65E-06	-7.9613016	0.8711	-0.82481917	FOSB
ILMN_3246409	0.13376	1.70E-05	-7.4770949	0.667	-0.842153	HNRNPH1
ILMN_1732410	0.16324	2.70E-05	-7.09485	0.4883	-0.82024977	SLC16A9
ILMN_1754921	0.16324	2.76E-05	-7.0758642	0.479	-0.7443218	FAM43B
ILMN_1727577	0.18239	3.47E-05	-6.8926526	0.387	-0.7708914	GLI2
ILMN_1795336	0.23209	5.53E-05	6.5287817	0.1917	0.88595435	PTER
ILMN_3246060	0.23209	5.65E-05	6.5131184	0.1829	0.71642656	PAX8-AS1
ILMN_1701613	0.23209	6.62E-05	6.3923299	0.1139	0.85025229	RARRES3
ILMN_2212999	0.23209	6.76E-05	6.3760434	0.1045	0.82357355	KIF5C
ILMN_1782178	0.23209	6.87E-05	-6.3644537	0.0977	-1.42545528	
ILMN_1674758	0.28934	9.17E-05	6.1485909	-0.0315	0.71466712	
ILMN_1722845	0.36637	1.25E-04	-5.9218871	-0.1746	-0.87448361	RAB3B
ILMN_2058782	0.36637	1.43E-04	5.8284501	-0.2358	1.76671604	IFI27
ILMN_1676515	0.36637	1.44E-04	-5.8225956	-0.2397	-0.59286784	IMPDH1
ILMN_2278433	0.36637	1.47E-04	5.8059079	-0.2508	0.68455819	
ILMN_1669523	0.41691	1.80E-04	-5.6618678	-0.3485	-0.65684063	FOS
ILMN_1738116	0.41691	1.85E-04	-5.64366	-0.3611	-1.03906153	TMEM119
ILMN_1725510	0.42229	1.98E-04	-5.5962463	-0.3941	-0.75150847	DHCR24
ILMN_1745684	0.42229	2.05E-04	5.5710751	-0.4118	0.65840768	
ILMN_1655405	0.4425	2.24E-04	-5.5090274	-0.4558	-0.81242056	SCARF2
ILMN_1720511	0.48965	2.69E-04	5.3842863	-0.5463	0.75731312	LRRN1
ILMN_3184724	0.48965	2.69E-04	5.3842073	-0.5464	0.90511925	CPED1
ILMN_3247816	0.55851	3.52E-04	5.2018089	-0.6835	0.99224333	
ILMN_1717925	0.55851	3.60E-04	-5.1859271	-0.6957	-0.54349791	SIGMAR1
ILMN_2342579	0.55851	3.68E-04	-5.1720793	-0.7064	-1.21560037	IL7R
ILMN_1704286	0.55851	3.71E-04	-5.165683	-0.7113	-0.69757403	FXYD5
ILMN_1732923	0.55851	3.72E-04	5.164066	-0.7126	0.98626363	SIPA1L2
ILMN_1723433	0.55851	3.84E-04	5.143652	-0.7284	0.99266276	
ILMN_1720373	0.55851	3.94E-04	-5.1264031	-0.7419	-0.59687939	SLC7A5
ILMN_1659688	0.55851	4.01E-04	5.1141491	-0.7514	0.63791216	LGALS3BP
ILMN_1773865	0.56612	4.27E-04	5.0723116	-0.7844	0.53462517	HSPA5
ILMN_2060413	0.56612	4.31E-04	5.0671205	-0.7885	1.45670241	CD24
ILMN_1794165	0.60962	4.77E-04	-5.0000162	-0.842	-0.79475557	PGD
ILMN_1658677	0.61876	4.97E-04	-4.9726433	-0.864	-0.680453	DTX3
ILMN_1672908	0.64023	5.44E-04	-4.9136997	-0.912	-0.82643848	TWIST1
ILMN_2081087	0.64023	5.84E-04	4.8667865	-0.9506	0.80079649	HSPA12A
ILMN_2402805	0.64023	6.13E-04	-4.8354839	-0.9766	-0.73287467	TRPC4AP
ILMN_3224856	0.64023	6.40E-04	-4.8070128	-1.0004	-0.5298301	
ILMN_2285817	0.64023	6.61E-04	-4.7869597	-1.0173	-0.56316914	FAM89A
ILMN_3301042	0.64023	6.78E-04	-4.7699677	-1.0316	-1.25772002	FLVCR1-AS1
ILMN_1757467	0.64023	7.04E-04	-4.7459557	-1.052	-0.62310005	H1F0
ILMN_3183620	0.64023	7.08E-04	-4.7423824	-1.055	-0.5267684	
ILMN_1754538	0.64023	7.29E-04	4.7232943	-1.0713	0.6764906	FAM213A
ILMN_1790761	0.64023	7.40E-04	-4.713861	-1.0793	-1.11288673	POSTN
ILMN_1786648	0.64023	7.43E-04	-4.7112215	-1.0816	-0.5331621	PRX
ILMN_1878029	0.64023	7.57E-04	4.6993184	-1.0918	0.67786885	ZBTB20
ILMN_1671791	0.64023	7.66E-04	-4.6917288	-1.0983	-0.79046687	PCK2
ILMN_1787879	0.64023	8.01E-04	4.6631563	-1.123	0.54143332	ARL2
ILMN_2406815	0.64023	8.03E-04	4.6612118	-1.1246	0.967333	LRRC17
ILMN_3255061	0.64023	8.05E-04	-4.6597001	-1.1259	-0.65603391	SPECC1
ILMN_2049536	0.64023	8.07E-04	-4.6585113	-1.127	-1.26259978	TRPV2
ILMN_1736178	0.64023	8.21E-04	-4.6475375	-1.1365	-0.74644257	AEBP1
ILMN_1692398	0.64023	8.32E-04	-4.6386554	-1.1442	-0.5207617	CNTNAP1
ILMN_2343047	0.64023	8.41E-04	-4.6318028	-1.1502	-0.50778043	ABCB9
ILMN_1676984	0.64023	8.55E-04	4.6216928	-1.159	0.53990047	DDIT3
ILMN_1808301	0.64023	8.55E-04	4.6211348	-1.1595	0.70144205	MRPL45
ILMN_1718946	0.64023	9.13E-04	4.5797422	-1.1958	0.67784109	ADAM10
ILMN_2167426	0.64023	9.36E-04	-4.5638994	-1.2097	-0.63045427	ASPHD2
ILMN_1713751	0.64023	9.37E-04	-4.563062	-1.2105	-1.27086178	ADAM19
ILMN_1666502	0.64023	9.47E-04	4.5567112	-1.2161	0.55125704	SOBP
ILMN_1657111	0.64023	9.52E-04	4.5531085	-1.2193	0.55722664	AHNAK2
ILMN_1811234	0.64023	9.55E-04	4.5509302	-1.2212	0.82589509	ROS1
ILMN_1752810	0.64023	9.62E-04	4.5467629	-1.2249	0.50971991	LARP6
ILMN_1810054	0.64023	9.69E-04	-4.5420223	-1.2291	-1.07767868	CNN1
ILMN_1716730	0.64023	9.76E-04	4.5374161	-1.2332	0.48204548	BOD1
ILMN_1691341	0.64023	9.82E-04	-4.5335676	-1.2366	-1.24572708	IL7R
ILMN_1712432	0.64023	9.86E-04	-4.5311191	-1.2388	-0.49395918	PSMD2
ILMN_3247587	0.64023	9.87E-04	4.5303692	-1.2395	0.56325034	SLC48A1
ILMN_2415529	0.64023	9.88E-04	-4.5298799	-1.2399	-0.52922395	CDK5RAP2
ILMN_1708743	0.66469	1.04E-03	-4.4976366	-1.2687	-0.52014238	NT5DC2
ILMN_1732452	0.66667	1.08E-03	4.4762193	-1.2879	0.50782068	MAPKAPK3
ILMN_1766261	0.66667	1.08E-03	4.4747756	-1.2892	1.31709243	SLC2A12
ILMN_1743145	0.66667	1.08E-03	4.4707651	-1.2928	1.14152985	ERAP2
ILMN_2355549	0.66767	1.15E-03	-4.436558	-1.3237	-0.91187731	GSTT2B
ILMN_1784783	0.66767	1.17E-03	4.4240763	-1.3351	0.56624094	NME5
ILMN_1664878	0.66767	1.17E-03	-4.4236181	-1.3355	-0.62378686	NLRP2
ILMN_2110271	0.66767	1.18E-03	-4.41947	-1.3393	-0.53650447	OLFM2
ILMN_1870658	0.66767	1.18E-03	-4.4170236	-1.3415	-1.28613229	TMED4
ILMN_1747451	0.66767	1.20E-03	-4.4088076	-1.349	-0.53425774	PLCXD1
ILMN_2351638	0.66767	1.20E-03	4.4079206	-1.3498	0.64469087	BEX4
ILMN_1659761	0.66767	1.20E-03	4.4071224	-1.3505	0.49896492	
ILMN_2391150	0.66767	1.24E-03	-4.3866653	-1.3692	-0.63981511	FILIP1L
ILMN_1683194	0.66767	1.25E-03	4.382894	-1.3727	0.54886506	DCN
ILMN_1749962	0.66767	1.26E-03	4.3769736	-1.3781	0.7107696	NCAM2
ILMN_1809364	0.66767	1.26E-03	4.3755603	-1.3794	0.94046725	NTF3
ILMN_1739813	0.66767	1.28E-03	4.3661965	-1.388	0.74329514	HYAL1
ILMN_3192791	0.66767	1.29E-03	-4.3629373	-1.391	-0.58186301	HNRNPM
ILMN_1690921	0.66767	1.31E-03	4.3531671	-1.4	0.43888325	STAT2
ILMN_1790637	0.66767	1.32E-03	4.3459509	-1.4067	0.64555794	C11orf80
ILMN_2227757	0.66767	1.33E-03	4.3451071	-1.4075	0.7686977	PCDHB2
ILMN_1798303	0.68393	1.37E-03	4.3229546	-1.428	0.70824041	RAET1G
ILMN_1709026	0.68393	1.39E-03	4.3170845	-1.4335	0.53565208	
ILMN_1713124	0.69464	1.43E-03	4.2977739	-1.4514	0.69223276	AKR1C3
ILMN_1815306	0.69464	1.44E-03	-4.2921929	-1.4566	-0.57548233	AP2A1
ILMN_3286809	0.69464	1.46E-03	4.286895	-1.4616	0.59843289	
ILMN_1682799	0.69464	1.47E-03	-4.2806328	-1.4675	-0.49140902	STAMBPL1
ILMN_3248113	0.69464	1.49E-03	-4.2736685	-1.474	-0.44401186	SNRNP70
ILMN_2286870	0.69464	1.50E-03	-4.2699213	-1.4775	-0.661498	CSNK1D
ILMN_3294741	0.69532	1.52E-03	4.2625501	-1.4844	0.47432743	
ILMN_1671844	0.69532	1.53E-03	4.2573226	-1.4893	0.61255164	EYA4
ILMN_2272519	0.7009	1.56E-03	-4.2456244	-1.5003	-0.44436979	FGR
ILMN_2261519	0.7009	1.57E-03	4.2406408	-1.505	0.58223271	AIRE
