ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
203915_at	0.00000355	3.02E-10	-8.7847603	12.97415	-3.38326922	CXCL9
219385_at	0.00000355	3.19E-10	-8.76452589	12.92501	-1.87708042	SLAMF8
202307_s_at	0.00003988	5.37E-09	-7.74685712	10.37441	-1.78345917	TAP1
219386_s_at	0.00005373	1.15E-08	-7.4800746	9.68148	-2.55628088	SLAMF8
204533_at	0.00005373	1.21E-08	-7.46310205	9.63708	-2.65689262	CXCL10
204362_at	0.00005746	1.55E-08	-7.37623617	9.40926	-0.84106308	SKAP2
205890_s_at	0.00006823	2.26E-08	-7.24487362	9.06294	-3.55675773	UBD///GABBR1
213036_x_at	0.00006823	2.45E-08	-7.21684379	8.98877	-1.71396641	ATP2A3
206134_at	0.00007318	3.12E-08	-7.13352705	8.76775	-3.31269448	ADAMDEC1
212543_at	0.00007318	3.28E-08	-7.11563949	8.7202	-0.92653732	AIM1
202269_x_at	0.00007621	3.76E-08	-7.06883868	8.59559	-1.74656935	GBP1
202951_at	0.00017603	1.02E-07	-6.72876031	7.6829	-0.67785512	STK38
206726_at	0.00017603	1.03E-07	6.7250482	7.67287	1.56887343	HPGDS
204224_s_at	0.00024377	1.53E-07	-6.58914247	7.30478	-1.34082646	GCH1
218843_at	0.00031074	2.09E-07	6.4834637	7.0174	1.89180843	FNDC4
205242_at	0.00034027	2.49E-07	-6.42424543	6.85594	-4.85420584	CXCL13
206513_at	0.00034027	2.81E-07	-6.38387866	6.74571	-2.22722839	AIM2
202862_at	0.00034027	2.88E-07	6.37554584	6.72294	1.12684896	FAH
202270_at	0.00034027	2.90E-07	-6.37281492	6.71548	-1.63325716	GBP1
206082_at	0.00044354	4.38E-07	-6.2336495	6.33441	-1.47982988	HCP5
207375_s_at	0.00044354	4.49E-07	-6.22591367	6.31318	-1.00942856	IL15RA
204613_at	0.00044354	4.49E-07	-6.22536196	6.31167	-0.9058748	PLCG2
204116_at	0.00044354	4.70E-07	-6.20993278	6.26932	-1.92448489	IL2RG
210538_s_at	0.00044354	4.88E-07	-6.19739778	6.23491	-1.5189872	BIRC3
216541_x_at	0.00044354	4.99E-07	-6.1901486	6.21501	-3.09294937	IGHM///IGHG1
219971_at	0.00044354	5.48E-07	-6.15857993	6.12828	-2.5324773	IL21R
200887_s_at	0.00044354	5.57E-07	-6.15299721	6.11293	-0.86846687	STAT1
205842_s_at	0.00044354	5.57E-07	-6.15278653	6.11236	-0.83767588	JAK2
205668_at	0.00044922	5.85E-07	-6.13670552	6.06815	-1.19096451	LY75
212546_s_at	0.00048489	6.53E-07	-6.09961497	5.96612	-0.68956814	FRYL
AFFX-HUMISGF3A/M97935_3_at	0.00052109	7.25E-07	-6.06440448	5.86919	-1.07381619	STAT1
204562_at	0.00054592	7.84E-07	-6.03811002	5.79676	-1.84413214	IRF4
212956_at	0.00063246	9.55E-07	-5.97195515	5.61436	-0.97091828	TBC1D9
204279_at	0.00063246	9.65E-07	-5.96836973	5.60447	-1.19724487	PSMB9
210017_at	0.0008183	1.29E-06	-5.87227222	5.33912	-0.97306868	MALT1
216430_x_at	0.00098479	1.59E-06	-5.80078643	5.14148	-3.38253945	IGLV1-44
219648_at	0.00105694	1.75E-06	-5.76793517	5.0506	-1.09945837	MREG
205267_at	0.00108708	1.86E-06	-5.74880958	4.99767	-3.33741876	POU2AF1
221658_s_at	0.00108708	1.90E-06	-5.74089553	4.97576	-2.91351997	IL21R
202291_s_at	0.00113318	2.14E-06	5.70168744	4.86721	0.8524888	MGP
207522_s_at	0.00113318	2.15E-06	-5.69933718	4.86071	-1.62766428	ATP2A3
213217_at	0.00113318	2.19E-06	5.69334719	4.84412	2.32643698	ADCY2
211102_s_at	0.00113318	2.22E-06	5.68933594	4.83301	1.23510258	LILRA2
218669_at	0.00113318	2.24E-06	-5.6866173	4.82548	-0.60624621	RAP2C
201690_s_at	0.00114153	2.31E-06	-5.67663943	4.79785	-1.67489153	TPD52
204780_s_at	0.00118013	2.44E-06	-5.65815461	4.74664	-0.88658279	FAS
220423_at	0.00119474	2.52E-06	-5.64684203	4.71531	-3.61355298	PLA2G2D
201287_s_at	0.00122805	2.65E-06	-5.63059793	4.6703	-1.84710754	SDC1
210163_at	0.00129021	2.84E-06	-5.60717881	4.60541	-2.71668814	CXCL11
219787_s_at	0.00130879	2.94E-06	-5.59563474	4.57342	-0.9047642	ECT2
211122_s_at	0.00137279	3.14E-06	-5.57303814	4.51079	-2.34517466	CXCL11
210372_s_at	0.00138136	3.22E-06	5.56446068	4.48702	1.54805745	TPD52L1
202906_s_at	0.00144603	3.44E-06	-5.54278397	4.42693	-0.6878881	NBN
212311_at	0.00151421	3.67E-06	-5.52111992	4.36688	-1.63891043	SEL1L3
208868_s_at	0.00156322	3.92E-06	5.49940783	4.30669	1.28043213	GABARAPL1
212314_at	0.00156322	4.03E-06	-5.49001913	4.28066	-1.60808883	SEL1L3
211959_at	0.00156322	4.13E-06	5.48196621	4.25833	1.29664085	IGFBP5
211881_x_at	0.00156322	4.23E-06	-5.47395162	4.23611	-2.59061819	IGLJ3
204702_s_at	0.00156322	4.24E-06	-5.472629	4.23244	-0.97517638	NFE2L3
208518_s_at	0.00156322	4.29E-06	5.46910897	4.22268	1.66527615	PER2
211649_x_at	0.00156322	4.32E-06	-5.46618633	4.21458	-3.1196959	IGHM///IGHG1///IGHA1
205818_at	0.00156322	4.37E-06	5.46270246	4.20492	1.4616601	BRINP1
40420_at	0.00156322	4.48E-06	-5.45435788	4.18179	-0.74530068	STK10
220577_at	0.00156322	4.49E-06	-5.45363162	4.17977	-0.98806427	GVINP1
210084_x_at	0.00157781	4.71E-06	5.4376486	4.13546	2.05303262	TPSAB1
215382_x_at	0.00157781	4.76E-06	5.43423611	4.126	2.04183624	TPSAB1
221690_s_at	0.00157781	4.79E-06	-5.43219324	4.12033	-1.58940941	NLRP2
213293_s_at	0.00157781	4.81E-06	-5.43024278	4.11492	-0.72955793	TRIM22
202036_s_at	0.00159038	4.98E-06	5.41910051	4.08403	1.65937081	SFRP1
209267_s_at	0.00159038	5.00E-06	-5.41788926	4.08067	-1.39788988	SLC39A8
206686_at	0.00171374	5.46E-06	-5.3881498	3.99822	-1.96842487	PDK1
219696_at	0.00174231	5.67E-06	-5.37570117	3.96371	-0.85409289	DENND1B
203347_s_at	0.00174231	5.78E-06	-5.36887864	3.94479	-0.63493985	MTF2
210321_at	0.00174231	5.79E-06	-5.36877108	3.9445	-2.16056426	GZMH
219259_at	0.00179594	6.04E-06	-5.35413472	3.90392	-1.01362811	SEMA4A
201689_s_at	0.00182565	6.23E-06	-5.34421268	3.87641	-1.7044634	TPD52
211633_x_at	0.00189913	6.56E-06	-5.32663269	3.82768	-3.86184884	
206574_s_at	0.00195073	6.84E-06	-5.31258396	3.78874	-1.25640468	PTP4A3
205213_at	0.00195073	6.94E-06	-5.3081302	3.7764	-2.76080324	ACAP1
212288_at	0.00195073	7.00E-06	-5.30486675	3.76735	-0.79642359	FNBP1
202748_at	0.0021597	7.85E-06	-5.26664203	3.66142	-0.60533008	GBP2
214097_at	0.00217377	8.00E-06	5.26035914	3.64401	1.29827311	RPS21
208091_s_at	0.0022524	8.63E-06	-5.23499429	3.57373	-0.85295169	VOPP1
211110_s_at	0.0022524	8.65E-06	5.2340146	3.57102	1.4542115	AR
204655_at	0.0022524	8.67E-06	-5.2333264	3.56911	-1.48296274	CCL5
211958_at	0.0022524	8.69E-06	5.23251146	3.56686	1.36128619	IGFBP5
203425_s_at	0.00226034	8.83E-06	5.22746231	3.55287	1.13051071	IGFBP5
210632_s_at	0.00238434	9.42E-06	5.2057455	3.49272	3.44536294	SGCA
203418_at	0.00244369	9.76E-06	-5.19372369	3.45942	-1.68591744	CCNA2
216560_x_at	0.0024796	1.00E-05	-5.18509261	3.43552	-4.52690969	IGLC1
206561_s_at	0.00260234	1.07E-05	5.16155165	3.37034	1.89611148	AKR1B10
205159_at	0.00260234	1.07E-05	-5.16153787	3.37031	-1.02202766	CSF2RB
218781_at	0.00262454	1.11E-05	-5.15153076	3.3426	-0.6887189	SMC6
213618_at	0.00262454	1.12E-05	-5.14854723	3.33435	-0.88002441	ARAP2
209695_at	0.00262454	1.12E-05	-5.14793605	3.33265	-0.81814384	PTP4A3
203528_at	0.00263717	1.14E-05	-5.14164681	3.31525	-1.69040808	SEMA4D
216365_x_at	0.00263717	1.15E-05	-5.13934305	3.30887	-3.5930168	IGLJ3///CKAP2
201688_s_at	0.00269254	1.18E-05	-5.12893847	3.28008	-1.71250711	TPD52
205992_s_at	0.00269363	1.20E-05	-5.12539887	3.27028	-1.01406384	IL15
205298_s_at	0.00280821	1.26E-05	-5.10806145	3.22231	-0.77042218	BTN2A2
201565_s_at	0.00290577	1.32E-05	5.09326989	3.1814	0.59448836	ID2
213268_at	0.00301476	1.40E-05	-5.07375639	3.12743	-1.7351802	CAMTA1
207808_s_at	0.00301476	1.40E-05	5.07346437	3.12662	0.60367182	PROS1
209870_s_at	0.00301476	1.41E-05	-5.07109797	3.12008	-1.86442366	APBA2
208885_at	0.00311551	1.47E-05	-5.05685693	3.08071	-1.03772099	LCP1
206150_at	0.00328691	1.56E-05	-5.0356999	3.02223	-1.80690632	CD27
214973_x_at	0.00331467	1.60E-05	-5.02771099	3.00015	-2.63442039	IGHD
205590_at	0.00331467	1.61E-05	-5.02660084	2.99709	-2.04063969	RASGRP1
206003_at	0.00333109	1.64E-05	-5.02004164	2.97897	-0.64241228	CEP135
219874_at	0.00333109	1.64E-05	-5.01878067	2.97548	-1.28963663	SLC12A8
206181_at	0.00337116	1.69E-05	-5.01030712	2.95207	-1.35978261	SLAMF1
222190_s_at	0.00337116	1.69E-05	5.00871366	2.94767	0.84520302	C16orf58
201131_s_at	0.0034473	1.75E-05	-4.9982266	2.91871	-1.9985419	CDH1
215946_x_at	0.00348127	1.80E-05	-4.98918923	2.89375	-2.57039357	IGLL3P
219937_at	0.00348127	1.80E-05	4.98903941	2.89334	2.51809711	TRHDE
203554_x_at	0.00355129	1.86E-05	-4.97767063	2.86195	-0.81076102	PTTG1
218223_s_at	0.00355129	1.87E-05	-4.97647605	2.85865	-1.04070339	PLEKHO1
217023_x_at	0.00355129	1.88E-05	4.97369524	2.85098	1.79525943	TPSB2///TPSAB1
202037_s_at	0.0035807	1.93E-05	4.96567874	2.82885	1.46593659	SFRP1
209374_s_at	0.0035807	1.93E-05	-4.96527435	2.82774	-3.79935536	IGHM
