ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
205671_s_at	1.47E-11	6.59E-16	-15.1311271	25.4324	-3.47403636	HLA-DOB
206641_at	1.12E-10	1.01E-14	-13.6880463	22.9953	-4.90204698	TNFRSF17
206134_at	2.36E-10	3.18E-14	-13.1109088	21.9526	-3.50633119	ADAMDEC1
205242_at	6.27E-10	1.13E-13	-12.4963626	20.7967	-6.31533383	CXCL13
221286_s_at	1.44E-09	3.22E-13	-11.9998126	19.8271	-5.02139607	MZB1
217384_x_at	4.66E-09	1.26E-12	-11.3780878	18.5667	-4.28003626	LOC100293211
201690_s_at	7.75E-09	2.43E-12	-11.0826656	17.9491	-2.12102571	TPD52
217480_x_at	1.56E-08	6.09E-12	-10.6813219	17.0905	-3.93395459	IGKV1OR2-118
217235_x_at	1.56E-08	6.29E-12	-10.6672642	17.06	-3.26140749	IGLL5
216401_x_at	4.12E-08	1.85E-11	-10.2067396	16.0456	-7.06306866	MLIP
211639_x_at	4.36E-08	2.15E-11	-10.142345	15.9014	-5.11110837	IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH
215949_x_at	4.68E-08	2.52E-11	-10.0766998	15.7537	-4.93909645	IGHM
201287_s_at	9.25E-08	5.39E-11	-9.7606157	15.0337	-2.24199744	SDC1
214777_at	1.84E-07	1.16E-10	-9.44968	14.3114	-7.25335504	IGKC
213193_x_at	2.49E-07	1.68E-10	-9.2993511	13.9571	-2.44142946	TRBC1
216557_x_at	2.81E-07	2.13E-10	-9.2028312	13.7278	-3.53020916	IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1
202270_at	2.81E-07	2.14E-10	-9.2016319	13.725	-2.22746392	GBP1
203828_s_at	2.87E-07	2.32E-10	-9.1696271	13.6487	-3.61799162	IL32
217179_x_at	2.93E-07	2.50E-10	-9.1404763	13.579	-3.44959991	BMS1P20
210031_at	4.24E-07	3.80E-10	-8.9733226	13.1774	-2.21183191	CD247
202037_s_at	4.39E-07	4.18E-10	8.935721	13.0865	1.77020071	SFRP1
210606_x_at	4.39E-07	4.37E-10	-8.9181238	13.0438	-2.36854333	KLRD1
213603_s_at	4.39E-07	4.53E-10	-8.9045315	13.0109	-1.77287933	RAC2
214916_x_at	5.65E-07	6.25E-10	-8.7780025	12.7029	-4.84072398	IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHA2///IGHA1
206513_at	5.65E-07	6.34E-10	-8.7727527	12.6901	-2.32800769	AIM2
209374_s_at	6.44E-07	7.52E-10	-8.7060233	12.5267	-6.03695225	IGHM
206150_at	6.85E-07	8.30E-10	-8.6674518	12.4319	-2.17557959	CD27
216829_at	6.86E-07	8.87E-10	-8.6415226	12.3681	-4.59511663	IGK///IGKC
