ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
34228_r_at	0.0237	0.00000187	7.9510802	3.6003	3.98268949	PRG4
38126_at	0.1865	0.0000523	-5.8108687	1.4661	-1.42542015	BGN
33267_at	0.1865	0.00005288	5.8043966	1.4584	2.60730253	ATP8A1
33526_at	0.1865	0.00005909	-5.73934	1.3809	-1.67675472	NPY2R
34227_i_at	0.2032	0.00010201	5.4240634	0.9942	1.81611058	PRG4
39669_at	0.2032	0.00010819	5.3905583	0.9521	1.62156001	ANXA9
35226_at	0.2032	0.00011871	5.3379089	0.8853	2.11427507	EYA2
35474_s_at	0.2032	0.00012877	-5.2919027	0.8266	-1.27565217	COL1A1
343_s_at	0.245	0.00018031	5.1032576	0.5818	1.44866871	ENPP1
39474_s_at	0.245	0.00019408	-5.0623551	0.5279	-1.21065501	GREM1
37918_at	0.2548	0.00022822	-4.9727497	0.4086	-2.16003856	ITGB2
31783_at	0.2548	0.00028004	4.8604089	0.2571	1.03168402	RENBP
342_at	0.2548	0.00028069	4.8591418	0.2554	1.77580622	ENPP1
35579_at	0.2548	0.00028255	-4.8555305	0.2505	-1.65326243	EXPH5
35891_at	0.2791	0.00036149	4.7214506	0.0666	1.55116925	HAO1
35285_at	0.2791	0.00040473	4.6603586	-0.0182	1.7670448	SLC4A4
35034_at	0.2791	0.00040631	4.6582551	-0.0212	2.2881177	
115_at	0.2791	0.00041241	-4.650221	-0.0324	-1.78552347	THBS1
35168_f_at	0.2791	0.00041998	-4.6404183	-0.0461	-1.45431185	COL16A1
41735_at	0.2799	0.00049053	4.5569631	-0.1632	1.43745258	DENND3
32488_at	0.2799	0.00049315	-4.5541004	-0.1673	-1.41545445	COL3A1
40848_g_at	0.2799	0.00051556	-4.5303008	-0.2009	-1.21582765	MICAL2
31599_f_at	0.2799	0.00053011	4.5154188	-0.222	1.16573735	MAGEA6///MAGEA3
31806_at	0.2799	0.00053217	-4.5133421	-0.2249	-1.74755657	FMO1
160029_at	0.3079	0.00061512	4.4360837	-0.335	1.55736678	PRKCB
37459_at	0.3079	0.00067541	-4.3864035	-0.4063	-1.67049186	COL8A1
41559_at	0.3079	0.0006887	4.3760668	-0.4212	0.94339208	GRAMD1B
36377_at	0.3079	0.00073076	-4.3446619	-0.4665	-0.96845893	IL18R1
36246_at	0.3079	0.00073164	4.3440214	-0.4674	1.85785	ADCY8
32709_at	0.3079	0.00074556	4.3340494	-0.4818	1.71606577	KCNAB1
41210_at	0.3079	0.00075886	4.3247033	-0.4954	1.61021943	CPB1
2087_s_at	0.3079	0.00078929	-4.3039254	-0.5255	-1.05302071	CDH11
867_s_at	0.3079	0.00080479	-4.2936525	-0.5404	-1.59371538	THBS1
655_at	0.312	0.00089953	4.2350044	-0.6259	2.60531617	GNRHR
39266_at	0.312	0.00090405	-4.2323691	-0.6298	-1.6862811	KCND3
39842_at	0.312	0.00090864	4.2297056	-0.6336	1.54946029	CRLF1
41405_at	0.312	0.00095994	-4.2008326	-0.6759	-1.53614388	SFRP4
32527_at	0.312	0.00096167	4.1998901	-0.6773	1.72077895	ADIRF
1232_s_at	0.312	0.00097767	4.1912251	-0.69	1.60432813	IGFBP1
133_at	0.312	0.00098863	-4.1853723	-0.6986	-1.44219298	CTSC
37741_at	0.3656	0.00118742	-4.0894416	-0.8402	-0.89313844	PYCR1
40064_at	0.3681	0.00123309	4.0697352	-0.8695	1.06808948	TRAK2
1451_s_at	0.3681	0.00125382	-4.0610344	-0.8824	-2.19767924	POSTN
AFFX-BioB-5_st	0.4256	0.00148339	3.9734936	-1.013	1.21068508	
103_at	0.4422	0.00157987	3.9407721	-1.0621	2.55692705	THBS4
34461_at	0.4422	0.00161464	3.9294759	-1.0791	1.84199988	SYCP1
32444_at	0.4422	0.00167598	3.9101424	-1.1082	0.89770245	ATP6V0E2
38002_s_at	0.4422	0.00168115	-3.9085472	-1.1106	-1.47954751	CACNA1C
40179_at	0.4431	0.00176507	3.883311	-1.1486	1.45096837	ZBTB33
41734_at	0.4431	0.00186387	3.855126	-1.1912	1.03321554	DENND3
38770_at	0.4431	0.00189748	-3.845884	-1.2052	-1.42622735	ADAM12
231_at	0.4431	0.00192217	-3.8392009	-1.2153	-3.44711332	TGM2
33100_at	0.4431	0.00196886	3.8267969	-1.2341	1.38046476	NPY5R
470_at	0.4431	0.00197267	-3.8257971	-1.2356	-1.10034802	CGREF1
32312_at	0.4431	0.00198794	-3.8218128	-1.2416	-1.7958224	TPM2
185_at	0.4431	0.00200595	3.8171552	-1.2487	0.98554318	NOVA1
36351_at	0.4431	0.0020192	3.8137558	-1.2539	1.4796326	KAZALD1
41736_g_at	0.4431	0.00203558	3.809582	-1.2602	1.02934155	DENND3
37892_at	0.4575	0.002151	-3.7811161	-1.3034	-1.81375953	COL11A1
37371_at	0.4575	0.00217408	3.7756131	-1.3118	1.6167716	SMPD1
34011_at	0.4704	0.00227262	3.752758	-1.3466	1.19125052	HRK
39901_at	0.4827	0.00244381	-3.7153477	-1.4036	-1.64045449	EDIL3
34407_at	0.4827	0.00250752	-3.7021029	-1.4239	-2.22465939	RARRES2
33990_at	0.4827	0.00252833	-3.6978488	-1.4304	-1.49011587	ALB
716_at	0.4827	0.00256472	-3.6904965	-1.4416	-1.45370831	BCRP3
