GeneSymbol	log(2,FC)	P-value
ABCA4	1.05	4.41E-03
AC002454.1	1.13	8.61E-05
AC002480.4	1.19	7.76E-03
AC006050.2	1.02	2.07E-02
AC011755.1	1.29	2.99E-03
AC012513.6	1.46	3.45E-06
AC012668.1	1.21	6.63E-03
AC013463.2	1.18	8.86E-03
AC055723.1	1.3	2.39E-04
AC069155.1	1.11	1.14E-02
AC073072.5	1.48	4.13E-07
AC107016.1	1.24	2.94E-03
AC131571.2	1.26	3.66E-03
ARHGAP29	1.07	1.94E-04
BCL7A	1.24	1.63E-06
BDNF-AS	1.26	4.27E-09
BIRC3	1.03	7.13E-03
CDH6	1.15	3.66E-03
COL8A1	1.04	1.23E-03
CT62	1.26	3.52E-03
CTA-299D3.8	1.39	1.92E-05
CTD-2033D15.1	1.19	7.42E-04
CTD-2066L21.1	1.85	2.32E-15
CTD-2218G20.2	1.69	3.96E-07
CTD-2547L24.4	1.02	1.31E-02
CTD-3253I12.1	1.34	3.96E-07
DOCK2	1.1	5.01E-03
DOK1	1.02	4.97E-04
DSP	1.07	1.76E-03
ELTD1	1.41	6.76E-04
EPHA5	1.13	9.16E-03
EPHB1	1.29	1.27E-04
ESM1	1.11	1.00E-02
FAM196B	1.09	6.37E-03
FLG-AS1	1.78	8.18E-06
FRMPD4-AS1	1.31	2.48E-03
GCSAM	1.01	8.11E-05
GDF5OS	1.06	1.23E-03
GPR39	1.46	5.12E-04
HAS2	1.11	9.49E-04
HAS2-AS1	1.28	2.90E-03
HHIP-AS1	1.53	1.65E-04
INPP4B	1.4	2.85E-06
IQGAP2	1.19	6.99E-03
KCNQ5	1.09	1.89E-02
KCNQ5-AS1	1.32	1.84E-03
KIAA1755	1.33	1.91E-03
KIRREL3-AS2	1.03	6.40E-06
KRT18	1.26	1.28E-03
KRT8	1.21	1.97E-03
LINC00565	1.15	1.55E-03
LINC00886	1	2.09E-02
LINC00941	1.16	5.54E-03
MESTP3	1.11	1.64E-02
METTL15P1	1.04	3.32E-03
MIR137HG	1.28	3.33E-03
MORF4L1P7	1.32	6.05E-04
MYH3	1.1	1.75E-02
NDST3	1.1	1.72E-02
NLGN1	1.32	1.17E-04
NLGN1-AS1	1.27	1.17E-04
NPY4R	1.07	2.27E-02
NR2F1	1.32	1.16E-04
NUDT6	1.04	1.42E-06
RN7SL471P	1.18	9.01E-03
RNU6-951P	1.37	3.93E-04
RP11-1090M7.1	1.17	6.69E-03
RP11-115L11.1	1.27	1.28E-04
RP11-133O22.6	1.6	3.96E-07
RP11-152K4.2	1.52	2.69E-04
RP11-180C1.1	1.47	3.34E-04
RP11-257K9.3	1.03	2.31E-02
RP11-25K19.1	1.19	8.29E-04
RP11-287D1.3	1	3.33E-06
RP11-298D21.3	1.18	3.94E-03
RP11-314C9.2	1.27	2.07E-05
RP11-357J22.1	1.1	1.83E-02
RP11-373J21.1	1.35	8.32E-05
RP11-408P14.1	1.07	1.38E-02
RP11-432B6.3	1.06	1.92E-02
RP11-495P10.7	1.3	2.48E-03
RP11-495P10.8	1.28	2.22E-03
RP11-495P10.9	1.31	1.55E-03
RP11-543N12.1	1.02	7.75E-03
RP11-567G24.1	1.26	3.09E-03
RP11-567G24.3	1.46	4.76E-05
RP11-586K2.1	1.11	2.29E-03
RP11-627G18.1	1.27	9.80E-07
RP11-62C3.6	1.15	3.07E-03
RP11-688I9.2	1.32	1.12E-07
RP11-697E14.2	1.05	6.92E-03
RP11-71H9.2	1.39	1.17E-03
RP11-77K12.4	1.08	1.44E-02
RP11-801F7.1	1	9.19E-09
RP11-807H7.1	1.82	5.67E-06
RP11-88H10.2	1.1	1.80E-02
RP13-631K18.5	1.09	1.87E-02
RP1-69D17.3	1.07	3.20E-06
RP4-536B24.2	1.29	3.71E-05
RP5-1046G13.2	1.08	1.12E-02
SCN3A	1.24	5.26E-03
SERPINE1	1.04	6.69E-03
SHANK2-AS1	1.29	1.41E-03
SLC15A1	1.35	1.91E-03
SLC38A1	1.07	5.55E-05
SLC38A5	1.14	7.84E-03
SLC7A11	1.24	6.39E-08
SLC7A11-AS1	1.29	1.74E-08
SLC9C1	1.05	2.00E-03
SLIT2	1.04	1.33E-02
SRGN	1.81	9.86E-07
THBS1	1.12	4.15E-04
TNFRSF11B	1.55	8.17E-06
RSPO2	-1.34	1.21E-04
SLC7A8	-1.57	1.10E-07
RP11-111E14.1	-1.11	2.05E-04
NIPSNAP3B	-1.3	4.60E-04
C7orf49	-1.25	5.46E-05
RP11-680F20.12	-1.41	5.11E-12
PLK1S1	-1.17	1.65E-04
RP11-486P11.1	-1.4	2.54E-04
PLXDC2	-1.41	4.13E-07
AP001422.3	-1.19	2.81E-04
AC016909.1	1.01	3.62E-02
MITF	-1.32	5.05E-05
ADCY8	-1.61	1.11E-04
PRDM6	-1.62	4.13E-07
RAB40A	-1.58	5.31E-13
AC007255.8	1.02	2.68E-02
ENKD1	-1.15	2.03E-04
IL12A-AS1	-1.17	1.09E-04
LUM	-1.29	3.16E-06
RP11-993B23.3	-1.1	1.06E-04
AC004543.1	-2.23	2.89E-09
RP11-862L9.3	-1.64	1.71E-06
PROSC	1	2.44E-02
AL645728.1	1.01	3.35E-02
