ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
206134_at	0.000206	1.08E-08	-10.527318	9.57113	-3.6606603	ADAMDEC1
221003_s_at	0.000206	1.85E-08	10.139849	9.13664	3.037067	CAB39L
209604_s_at	0.000207	2.78E-08	-9.85061	8.80005	-1.0510936	GATA3
205890_s_at	0.000929	1.67E-07	-8.6563289	7.29164	-3.4544532	UBD///GABBR1
205159_at	0.001039	2.33E-07	-8.4438986	7.00216	-1.2158345	CSF2RB
204279_at	0.001197	3.22E-07	-8.242356	6.72131	-1.1276652	PSMB9
204223_at	0.001764	7.63E-07	7.7212196	5.96639	2.1018373	PRELP
203915_at	0.001764	8.34E-07	-7.6680085	5.88693	-3.4089977	CXCL9
210031_at	0.001764	8.58E-07	-7.6513879	5.86202	-1.6477246	CD247
217986_s_at	0.001764	9.46E-07	-7.5941821	5.77595	-0.8475712	BAZ1A
219386_s_at	0.001764	9.67E-07	-7.5808115	5.75576	-2.4568834	SLAMF8
206337_at	0.001764	9.83E-07	-7.5714956	5.74168	-1.44255	CCR7
206513_at	0.001764	1.03E-06	-7.5444062	5.70064	-2.5364294	AIM2
205242_at	0.001932	1.26E-06	-7.4247311	5.51797	-5.6665014	CXCL13
213416_at	0.001932	1.37E-06	-7.376175	5.4432	-1.3395065	ITGA4
213539_at	0.001932	1.39E-06	-7.3711062	5.43538	-1.8233061	CD3D
209670_at	0.002405	1.83E-06	-7.2104844	5.18523	-2.2440169	TRAC
202035_s_at	0.002879	2.33E-06	7.0759649	4.97255	2.1357813	SFRP1
1405_i_at	0.003384	2.89E-06	-6.9548296	4.77853	-2.9510123	CCL5
205569_at	0.003783	3.63E-06	-6.82656	4.57051	-3.3048582	LAMP3
213193_x_at	0.003783	3.68E-06	-6.8199818	4.55977	-1.8556057	TRBC1
205590_at	0.003783	3.73E-06	-6.8112802	4.54555	-2.1910927	RASGRP1
206181_at	0.004401	4.54E-06	-6.7034196	4.36829	-1.6517676	SLAMF1
AFFX-HUMISGF3A/M97935_3_at	0.004672	5.45E-06	-6.604226	4.20362	-0.8319989	STAT1
205833_s_at	0.004672	5.47E-06	6.6019232	4.19978	2.4669139	PART1
211005_at	0.004672	5.49E-06	-6.5996295	4.19595	-0.9111951	LAT
204655_at	0.004672	5.66E-06	-6.5831497	4.16843	-1.4186497	CCL5
214647_s_at	0.005044	6.47E-06	6.5109759	4.04737	0.8792464	HFE
211339_s_at	0.005044	6.56E-06	-6.5029185	4.0338	-1.5571638	ITK
208885_at	0.005085	6.85E-06	-6.4801649	3.99543	-1.3434882	LCP1
37022_at	0.005387	7.50E-06	6.4313875	3.9129	1.2007167	PRELP
204205_at	0.005572	8.09E-06	-6.390459	3.84335	-1.1480623	APOBEC3G
209040_s_at	0.005572	8.25E-06	-6.3797827	3.82516	-1.0417348	PSMB8
213475_s_at	0.005987	9.30E-06	-6.3158156	3.71582	-2.2439513	ITGAL
210146_x_at	0.005987	9.40E-06	-6.3099345	3.70573	-1.5784835	LILRB2
213015_at	0.006492	1.06E-05	6.246045	3.59581	0.9293965	BBX
211429_s_at	0.006492	1.08E-05	-6.2373106	3.58073	-1.8333777	SERPINA1
219648_at	0.006772	1.16E-05	-6.2006286	3.51728	-1.0267733	MREG
207892_at	0.006772	1.19E-05	-6.1871497	3.4939	-1.7653908	CD40LG
205884_at	0.007736	1.43E-05	-6.0893706	3.3235	-1.8601302	ITGA4
204116_at	0.007736	1.46E-05	-6.0774881	3.30269	-1.4498358	IL2RG
206978_at	0.007736	1.48E-05	-6.068878	3.2876	-1.4345606	CCR2
204891_s_at	0.007736	1.49E-05	-6.0657211	3.28206	-2.9816767	LCK
202307_s_at	0.008035	1.59E-05	-6.0330217	3.22462	-1.2910853	TAP1
210915_x_at	0.008035	1.62E-05	-6.0221017	3.2054	-1.9199294	TRBC1
214954_at	0.008338	1.72E-05	5.9913503	3.15117	1.8631991	SUSD5
215280_s_at	0.008893	1.88E-05	-5.9466437	3.07208	-0.9591437	PPFIA3
205475_at	0.009048	1.95E-05	5.9267734	3.03682	2.7531778	SCRG1
204021_s_at	0.009386	2.07E-05	5.8951505	2.98059	0.6721364	PURA
204964_s_at	0.009386	2.11E-05	5.8866162	2.96539	1.3499225	SSPN
205456_at	0.009493	2.17E-05	-5.8705129	2.93667	-1.1623429	CD3E
213172_at	0.009703	2.30E-05	-5.8404114	2.88289	-2.4593741	TTC9
208504_x_at	0.009703	2.34E-05	5.831839	2.86754	2.0860711	PCDHB11
211518_s_at	0.009703	2.35E-05	5.8297182	2.86375	3.0301787	BMP4
204457_s_at	0.009817	2.42E-05	5.8142376	2.83601	1.2182479	GAS1
208663_s_at	0.011588	2.91E-05	5.7199125	2.6662	1.1807841	TTC3P1///TTC3
219918_s_at	0.012102	3.10E-05	-5.6887102	2.60973	-2.0743576	ASPM
213791_at	0.012261	3.21E-05	5.6707525	2.57717	1.5412273	PENK
214860_at	0.012261	3.28E-05	5.6594369	2.55663	1.7691146	SLC9A7
205831_at	0.012261	3.31E-05	-5.6544326	2.54754	-1.5562839	CD2
206614_at	0.012261	3.36E-05	5.6474784	2.5349	1.5818949	GDF5
222062_at	0.01235	3.44E-05	-5.6355317	2.51316	-0.976211	IL27RA
221450_x_at	0.012386	3.50E-05	5.6259092	2.49564	2.2305841	PCDHB13
55081_at	0.012495	3.61E-05	-5.6106546	2.46784	-0.850174	MICALL1
219385_at	0.012495	3.64E-05	-5.6055818	2.45859	-1.475509	SLAMF8
205120_s_at	0.012812	3.79E-05	5.5851334	2.42126	0.9456171	SGCB
208662_s_at	0.012821	3.91E-05	5.5701119	2.39379	0.9447794	TTC3P1///TTC3
212759_s_at	0.012821	4.00E-05	5.5585081	2.37255	1.3159474	TCF7L2
220091_at	0.012821	4.00E-05	-5.5584659	2.37247	-2.6444251	SLC2A6
205213_at	0.012821	4.03E-05	-5.5549764	2.36608	-2.8783941	ACAP1
202644_s_at	0.012846	4.14E-05	-5.5405074	2.33956	-1.3400028	TNFAIP3
214032_at	0.012846	4.18E-05	-5.5366027	2.3324	-1.9063172	ZAP70
202270_at	0.012846	4.21E-05	-5.5327879	2.3254	-1.6205807	GBP1
217933_s_at	0.012927	4.29E-05	-5.5227208	2.30692	-0.9418029	LAP3
210302_s_at	0.013122	4.42E-05	5.507509	2.27897	2.529867	MAB21L2
212588_at	0.013122	4.51E-05	-5.4978805	2.26126	-1.0634738	PTPRC
209765_at	0.013122	4.63E-05	-5.4850338	2.23761	-1.0026786	ADAM19
203828_s_at	0.013122	4.63E-05	-5.4843078	2.23627	-2.4669128	IL32
218979_at	0.013122	4.68E-05	-5.4787778	2.22608	-0.8098342	RMI1
205153_s_at	0.013122	4.71E-05	-5.4758678	2.22072	-0.6682202	CD40
218543_s_at	0.013249	4.82E-05	-5.4647972	2.20031	-0.9255412	PARP12
202269_x_at	0.013251	4.90E-05	-5.4564176	2.18484	-1.536083	GBP1
204042_at	0.013251	4.96E-05	5.4502846	2.17352	0.9708575	WASF3
214567_s_at	0.013251	5.02E-05	-5.4440285	2.16196	-2.2626064	XCL2///XCL1
214551_s_at	0.013251	5.05E-05	-5.4404966	2.15544	-2.4705531	CD7
205718_at	0.013267	5.12E-05	-5.4339999	2.14343	-3.0489122	ITGB7
206666_at	0.013378	5.22E-05	-5.4240148	2.12495	-1.9978492	GZMK
204963_at	0.013691	5.42E-05	5.4058083	2.09124	1.01125	SSPN
203879_at	0.013691	5.47E-05	-5.4010463	2.08241	-0.8636112	PIK3CD
209354_at	0.014379	5.83E-05	-5.3688483	2.02265	-0.702233	TNFRSF14
203652_at	0.014379	5.87E-05	-5.3653713	2.01619	-0.602912	MAP3K11
204794_at	0.014681	6.09E-05	-5.3471287	1.98226	-1.898522	DUSP2
215524_x_at	0.014681	6.17E-05	-5.3404504	1.96983	-1.2849176	MGC40069///TRAC///TRAJ17///TRAV20///TRDV2///YME1L1
219807_x_at	0.014681	6.21E-05	-5.3373044	1.96397	-0.5875006	MIA-RAB4B///RAB4B
210972_x_at	0.014681	6.31E-05	-5.3296823	1.94976	-1.5831119	TRAC///TRAJ17///TRAV20///TRDV2
203787_at	0.014681	6.33E-05	5.3282555	1.94711	0.6987613	SSBP2
203535_at	0.014681	6.39E-05	-5.3231036	1.9375	-1.781728	S100A9
212023_s_at	0.014775	6.50E-05	-5.3148267	1.92206	-1.0672321	MKI67
