analyte_id	analyte_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	ribosomal_rna_28s_16s_ratio	analyte_volume	well_number	analyte_type	analyte_quantity	normal_tumor_genotype_snp_match	state	a260_a280_ratio	amount	spectrophotometer_method	analyte_type_id	concentration
57e8ed13-1eb3-4679-994c-8275e91de70e	TCGA-86-A4D0-01A-22-A646-42-X033-S04	528a0fce-0719-4b19-a69d-3f18681696c5	TCGA-86-A4D0	TCGA-LUAD	5de445ab-85e8-4bec-bf61-f6b4240306e1	TCGA-86-A4D0-01A	18545e4a-6285-4db7-a52c-9e12075d6b89	TCGA-86-A4D0-01A-22-A646-42	--	--	--	DNA	--	--	released	--	--	--	--	--
a12f8a45-25e9-4021-8576-2965011c61d5	TCGA-NJ-A4YG-01A-12-A646-42-X030-S03	7fd03220-531e-4ef8-beca-e9703e8c0ae1	TCGA-NJ-A4YG	TCGA-LUAD	337b38b7-752e-4246-aba2-163140b1e3c7	TCGA-NJ-A4YG-01A	f2b26d56-4853-423e-ac90-9db4ad7ce9ee	TCGA-NJ-A4YG-01A-12-A646-42	--	--	--	DNA	--	--	released	--	--	--	--	--
8eaadc1e-732a-4dc2-8933-40adb348ae72	TCGA-78-7162-11A-01R	16cd58db-d52c-403e-9e9c-6da2e99f6bad	TCGA-78-7162	TCGA-LUAD	60167e48-cdc8-40aa-b31e-105cf1009bd4	TCGA-78-7162-11A	e77921c9-eb82-48b3-9e3c-a2ac4d566229	TCGA-78-7162-11A-01	--	--	--	RNA	--	--	released	1.6	--	UV Spec	R	0.04
3ccb2039-579c-4507-b671-db387a888408	TCGA-86-A4P7-01A-22-A646-42-X036-S09	9e640ff7-996e-427b-b56c-519a1e23baab	TCGA-86-A4P7	TCGA-LUAD	d5cb5845-eb00-422d-a3d1-d3061ba078d5	TCGA-86-A4P7-01A	31981d14-6717-43c6-b0f3-4d477f637e6f	TCGA-86-A4P7-01A-22-A646-42	--	--	--	DNA	--	--	released	--	--	--	--	--
9d4bb926-8752-420a-9b5b-337985307362	TCGA-93-A4JO-01A-12-A646-42-X040-S01	3daebe75-c6df-478e-8a4c-11186fd5ead9	TCGA-93-A4JO	TCGA-LUAD	e88b670d-57af-4001-a9f3-0e13496b426a	TCGA-93-A4JO-01A	ecbd63b4-2b0b-4e3c-a25d-a3580ceaf276	TCGA-93-A4JO-01A-12-A646-42	--	--	--	DNA	--	--	released	--	--	--	--	--
fa8c1152-64ba-42df-b89e-62740c2bd12b	TCGA-91-6848-11A-01R	0232d299-4cdf-4fd7-9a5e-8d13c208b40c	TCGA-91-6848	TCGA-LUAD	5df2899e-b0f2-4508-917f-2f785f312419	TCGA-91-6848-11A	4a17acfc-2f2a-4956-96d8-1aedd3040c1d	TCGA-91-6848-11A-01	--	--	--	RNA	--	--	released	1.7	--	UV Spec	R	0.15
742be32c-9f11-4a72-b38e-92f932db14b9	TCGA-MP-A4T7-01A-22-A646-42-X026-S01	47062ad2-ba82-45c8-a871-bdea84f0c405	TCGA-MP-A4T7	TCGA-LUAD	b4c61d50-4631-442d-b518-ca666d0243f5	TCGA-MP-A4T7-01A	07b8c449-3062-436f-8274-4c27887bf8ab	TCGA-MP-A4T7-01A-22-A646-42	--	--	--	DNA	--	--	released	--	--	--	--	--
4e287ad4-4bc4-4a04-ac0d-bf323d126622	TCGA-91-A4BD-01A-22-A646-42-X037-S01	0d980584-4484-4063-8243-c3cd67f6f588	TCGA-91-A4BD	TCGA-LUAD	6e10437d-da57-4298-b082-9d7c59d09c5c	TCGA-91-A4BD-01A	18b8c125-d05c-4ac1-a739-fcc610777b0f	TCGA-91-A4BD-01A-22-A646-42	--	--	--	DNA	--	--	released	--	--	--	--	--
7e4ff156-39b6-4e35-899f-f5e2240d2720	TCGA-44-A47F-01A-22-A602-42-X004-S02	f61d599a-43bd-4743-9568-678317e75955	TCGA-44-A47F	TCGA-LUAD	6c128256-bbac-4705-a261-8fedd9e558cf	TCGA-44-A47F-01A	48a8548f-79b1-4013-a31c-b2bfdd33f634	TCGA-44-A47F-01A-22-A602-42	--	--	--	DNA	--	--	released	--	--	--	--	--
d5bd3483-4991-4e2b-bc64-55a541f92385	TCGA-MP-A4TE-01A-12-A646-42-X032-S03	bebd0025-74e2-451b-93b3-86f82df43573	TCGA-MP-A4TE	TCGA-LUAD	3e11762a-faf0-489d-8985-8ede2ccabd76	TCGA-MP-A4TE-01A	8b7e9fca-c6cf-45a8-8a9b-646198bb6495	TCGA-MP-A4TE-01A-12-A646-42	--	--	--	DNA	--	--	released	--	--	--	--	--
