mean.A	mean.B	delta	Pvalue.ttest	p.adjust.BH	Pvalue.wilcox	a.shapiro.pvalue	b.shapiro.pvalue
?|100130426	0.0122339955470105	0.00849567619301341	0.00373831935399705	0.676213608402794	0.705024456333422	0.182746244661347	5.18794666936763e-42	7.90042971898864e-16
?|100133144	21.5830269051619	10.8911708032111	10.6918561019508	2.95874678650306e-13	7.9886941443575e-13	2.94037413704236e-06	3.28034550686513e-22	0.000452519433772006
?|100134869	18.1846302458693	10.4614072140945	7.72322303177483	5.06972524852284e-12	1.27136349184588e-11	5.68411771403267e-05	5.07310003707235e-22	0.0254598401446148
?|10357	169.824919724921	106.503357216683	63.3215625082382	1.8668449626669e-24	9.86061073540367e-24	4.69416567808235e-14	1.30499500240652e-17	0.0793345763569203
?|10431	1032.67332382175	604.900028305716	427.773295516034	9.27974702244026e-30	6.22012687292592e-29	1.02371707333145e-18	8.7754247912102e-23	9.38676376124656e-06
?|136542	0.000110168681202612	0.000118297833729934	-8.12915252732233e-06	0.611201110227251	0.642857069368632	0.604239394018687	0.365324528555285	0.946508867622011
?|155060	182.125370578665	116.392749894146	65.7326206845195	9.66498781233938e-08	1.8977798849956e-07	0.000914923556880755	1.2553137318613e-27	0.0306920079359944
?|26823	0.49289544864146	0.278407454066573	0.214487994574887	0.00570010574210479	0.00783902947224552	0.00484862310432365	6.48627414188192e-30	7.33359065747129e-10
?|280660	0.0481747279059447	8.66520066087224e-05	0.048088075899336	0.0695200948770601	0.085585960779572	0.707791995536593	5.49331270320421e-44	0.111098448262985
?|317712	0.000102484900670226	0.000130752350784698	-2.82674501144727e-05	0.0405496387504111	0.0512859381004553	0.0733875555210517	0.357802385359756	0.524470011924449
?|340602	44.788212510366	1.19507106013587	43.5931414502302	0.00164312399151742	0.00237036106449158	0.0732399173253178	7.89718000528298e-43	0.055991168907577
?|388795	5.91189257735248	1.2476673006717	4.66422527668078	9.92955900497505e-05	0.000157156780705475	0.054960733710594	4.97520253782919e-42	0.00015323201836516
?|390284	5.24035023534738	5.09654469374	0.143805541607382	0.6801792038718	0.708619233505451	0.669195497792669	1.55770735234455e-15	7.84033969314721e-10
?|391343	0.802316209962799	0.16264337700956	0.639672832953238	2.88225788016881e-05	4.75497280335442e-05	0.287019989257227	9.42308687249124e-41	6.08341092308361e-10
?|391714	0.108613998141544	0.133897341953216	-0.0252833438116716	0.589231180132279	0.621500403765519	0.0673928679914325	3.14852673145785e-42	3.06271408088463e-11
