Category+A1:M65	Term	Count	%	PValue	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Disulfide bond	556	54.03304179	5.02E-179	3.279799275	1.92E-176	1.92E-176	6.96E-176
UP_SEQ_FEATURE	disulfide bond	517	50.24295432	3.52E-176	3.503353368	8.92E-173	8.92E-173	6.21E-173
GOTERM_BP_DIRECT	GO:0006955~immune response	219	21.28279883	3.24E-159	8.886094485	1.23E-155	1.23E-155	5.99E-156
UP_SEQ_FEATURE	signal peptide	526	51.11758989	3.54E-155	3.107346173	8.99E-152	4.49E-152	6.26E-152
UP_KEYWORDS	Signal	547	53.15840622	2.55E-131	2.663586226	9.75E-129	4.88E-129	3.53E-128
UP_KEYWORDS	Immunity	195	18.95043732	2.21E-124	7.900187008	8.45E-122	2.82E-122	3.06E-121
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	167	16.22934888	1.64E-114	6.962508409	3.63E-112	3.63E-112	2.09E-111
UP_KEYWORDS	Glycoprotein	544	52.86686103	1.39E-111	2.421390471	5.31E-109	1.33E-109	1.92E-108
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	517	50.24295432	2.16E-103	2.41362347	5.49E-100	1.83E-100	3.83E-100
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	162	15.74344023	6.33E-99	7.301712221	2.40E-95	1.20E-95	1.17E-95
UP_KEYWORDS	Cytokine	112	10.88435374	3.76E-95	11.94090344	1.44E-92	2.88E-93	5.21E-92
UP_SEQ_FEATURE	topological domain:Extracellular	391	37.99805637	8.16E-90	2.773126108	2.07E-86	5.18E-87	1.44E-86
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	88	8.551992225	1.23E-88	10.13107511	2.73E-86	1.36E-86	1.57E-85
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	111	10.78717201	3.58E-81	9.440371853	1.72E-78	1.72E-78	5.13E-78
UP_SEQ_FEATURE	topological domain:Cytoplasmic	425	41.30223518	2.34E-80	2.430776489	5.95E-77	1.19E-77	4.14E-77
INTERPRO	IPR013783:Immunoglobulin-like fold	217	21.08843537	1.01E-79	4.23904767	1.22E-76	1.22E-76	1.63E-76
UP_KEYWORDS	Receptor	275	26.7249757	2.81E-78	3.380245561	1.08E-75	1.80E-76	3.90E-75
UP_KEYWORDS	Immunoglobulin domain	158	15.35471331	1.10E-77	5.861883851	4.23E-75	6.04E-76	1.53E-74
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	80	7.774538387	1.23E-71	9.315931136	2.73E-69	9.09E-70	1.57E-68
UP_KEYWORDS	Innate immunity	108	10.49562682	1.35E-70	8.382161282	5.17E-68	6.46E-69	1.87E-67
GOTERM_CC_DIRECT	GO:0005615~extracellular space	247	24.00388727	1.35E-68	3.321812259	6.51E-66	3.26E-66	1.94E-65
UP_KEYWORDS	Secreted	287	27.89115646	2.14E-68	2.958639879	8.18E-66	9.09E-67	2.96E-65
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	249	24.19825073	1.82E-65	3.187782141	8.74E-63	2.91E-63	2.60E-62
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	466	45.2866861	1.85E-65	2.048467265	8.88E-63	2.22E-63	2.65E-62
INTERPRO	IPR007110:Immunoglobulin-like domain	170	16.52089407	4.04E-59	4.096223331	4.89E-56	2.44E-56	6.54E-56
GOTERM_BP_DIRECT	GO:0045087~innate immune response	131	12.73080661	1.61E-58	5.204173271	6.11E-55	2.04E-55	2.98E-55
GOTERM_CC_DIRECT	GO:0009986~cell surface	140	13.60544218	7.38E-56	4.679230888	3.55E-53	7.10E-54	1.06E-52
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	72	6.997084548	1.06E-55	10.08141687	4.04E-52	1.01E-52	1.97E-52
KEGG_PATHWAY	hsa05152:Tuberculosis	99	9.620991254	1.03E-53	5.666533536	2.30E-51	5.74E-52	1.32E-50
GOTERM_MF_DIRECT	GO:0005125~cytokine activity	81	7.871720117	3.61E-53	8.238702641	3.32E-50	3.32E-50	5.64E-50
KEGG_PATHWAY	hsa05321:Inflammatory bowel disease (IBD)	58	5.63654033	1.56E-50	9.181286819	3.46E-48	6.93E-49	1.99E-47
GOTERM_CC_DIRECT	GO:0005576~extracellular region	237	23.03206997	2.03E-47	2.666663374	9.79E-45	1.63E-45	2.91E-44
