V4	V1.x	V2.x	V3.x	V5.x	McaM	McoM	Pvalue	OR	CI.upper	CI.lower	Logistic.P	Sens	Spec	AUC	V1.y	V2.y	V3.y	V5.y	V6	V7	V8
cg04156293	chr7	100488942	100488943	ACHE	0.597059896778272	0.258214916933042	3.16934599387318e-32	2.67156124359587	3.18411252382962	2.19890222845812	8.09842419013478e-25	0.731984829329962	0.958333333333333	0.876514433206911	chr7	100488942	100488943	ACHE	R	N_Shore	I
cg16904330	chr3	119299162	119299163	ADPRH	0.376307819155709	0.110158543181759	7.66019955209718e-29	4.9820938219104	6.38571702202398	3.81331373416053	1.90889740957305e-13	0.720606826801517	0.895833333333333	0.854943636746734	chr3	119299162	119299163	ADPRH	R	S_Shore	II
cg22295787	chr8	26723584	26723585	ADRA1A	0.190713959733952	0.0194597778191559	3.28501123825349e-35	70.4850681473187	91.4435315980022	51.7808344156504	1.863111238627e-11	0.823008849557522	0.864583333333333	0.894700800674252	chr8	26723584	26723585	ADRA1A	R	Island	I
cg02900766	chr15	58357319	58357320	ALDH1A2	0.537914143392171	0.304181553136762	1.98017100853127e-39	6.30656920133786	7.55013322237676	5.20114102690693	2.15597345183521e-24	0.847029077117573	0.9375	0.919418984407922	chr15	58357319	58357320	ALDH1A2	R	Island	II
cg13867915	chr1	27050039	27050040	ARID1A	0.223946534143069	0.0758409055208833	1.24624304586918e-32	12.9054375167234	16.2179255498861	9.97862903847988	4.64981378478471e-15	0.81795195954488	0.84375	0.879029709228824	chr1	27050039	27050040	ARID1A	F	CpG_Ocean	II
cg06499647	chr2	106681983	106681984	C2orf40	0.279626076039684	0.0318557255380252	5.18550456105485e-44	19.6801854140331	25.3862727109976	14.9052418929797	1.15165393234652e-12	0.84197218710493	0.9375	0.945375052675938	chr2	106681983	106681984	C2orf40	R	Island	I
cg05355225	chr8	86350568	86350569	CA3	0.624342945425942	0.19790447772182	3.80672455171482e-45	5.40414891111858	6.49515070425851	4.47449392058716	2.66646063242069e-24	0.872313527180784	0.979166666666667	0.951801517067004	chr8	86350568	86350569	CA3	F	N_Shore	I
cg26669159	chr1	6967037	6967038	CAMTA1	0.491700587063723	0.30727621685858	6.39628988607024e-29	3.77317830293644	4.60039389067088	3.00900489231844	2.10459341508598e-19	0.733249051833123	0.979166666666667	0.855457227138643	chr1	6967037	6967038	CAMTA1	F	CpG_Ocean	I
cg12840719	chr9	21968233	21968234	CDKN2A	0.527946470389031	0.149321274304337	5.99119415432721e-43	6.97395508842764	8.71385381842151	5.52123850791026	1.09324130758325e-16	0.799237611181703	0.989583333333333	0.939498623464634	chr9	21968233	21968234	CDKN2A	R	N_Shore	II
cg02792792	chr5	115152420	115152421	CDO1	0.42641306876592	0.109668342766822	6.29136346841305e-36	5.71434360350822	7.14442697828275	4.54310682347732	5.46618239764984e-17	0.825537294563843	0.9375	0.898980720606827	chr5	115152420	115152421	CDO1	R	Island	II
cg00130039	chr13	28543189	28543190	CDX2	0.242842620759377	0.0526270767584672	1.62909319049532e-31	10.3548853679926	13.5616950237862	7.6743674741026	3.02016545217567e-11	0.776232616940582	0.84375	0.872076485461441	chr13	28543189	28543190	CDX2	R	Island	II
cg00735923	chr7	117119963	117119964	CFTR	0.605908861675958	0.174172593609782	6.00222806226668e-42	4.21277951926891	5.0256764991734	3.50608430260594	6.99739008189908e-26	0.854614412136536	0.9375	0.933746839443742	chr7	117119963	117119964	CFTR	R	CpG_Ocean	II
