ID	adj.P.Val	P.Value	t.(Normal-SSc)	B.(Normal-SSc)	logFC	Gene.symbol
A_32_P111565	5.48E-09	1.27E-11	7.2366236	16.038719	0.8694688	FTH1
A_23_P50498	3.62E-07	4.58E-09	6.160655	10.400936	0.7759207	FTL
A_23_P206760	3.95E-07	5.22E-09	6.13571	10.276861	2.2470316	HP
A_23_P106497	6.52E-07	1.05E-08	6.0012971	9.613943	0.7983755	IREB2
A_23_P357780	2.10E-06	5.84E-08	5.6601709	7.975722	0.4114693	FDX1
A_23_P154786	2.29E-06	6.74E-08	-5.6313662	7.840392	-1.5460132	MAP1LC3A
A_23_P110212	3.95E-06	1.51E-07	-5.4663902	7.074611	-1.9789753	ACSL1
A_23_P59950	1.11E-05	7.40E-07	5.1308217	5.56752	0.7206261	SLC39A14
A_23_P122896	3.64E-05	4.72E-06	4.7256539	3.830544	0.7737407	TFR2
A_23_P77360	5.72E-05	9.19E-06	4.5655288	3.191732	0.5363112	CIAO1
A_23_P165162	5.85E-05	9.47E-06	4.5583588	3.162978	1.4344362	HAMP
A_23_P19624	6.87E-05	1.18E-05	4.5064439	2.955856	0.4828551	BMP6
A_23_P257407	7.02E-05	1.22E-05	-4.4995681	2.928565	-0.6731268	NDOR1
A_23_P300255	9.02E-05	1.71E-05	4.4180461	2.607522	0.3434456	NUBP1
A_23_P217564	9.43E-05	1.81E-05	4.4042072	2.553488	0.7258996	ACSL4
A_23_P50455	0.000138	2.99E-05	4.2826398	2.084703	0.5557625	POLD1
A_24_P918397	0.000189	4.47E-05	-4.1838673	1.711668	-0.4924153	SLC25A28
A_23_P103996	0.000241	6.05E-05	4.1075153	1.4282	0.6654641	GCLM
A_24_P944827	0.000266	6.83E-05	-4.0773217	1.31593	-0.3733946	ATG7
A_23_P252306	0.000349	9.54E-05	3.9913691	1.005278	0.7086121	ID1
A_23_P92623	0.000568	0.000171	-3.8382805	0.463356	-0.6787368	PPP3CA
A_23_P111381	0.000785	0.00025	3.7367623	0.113881	0.5809847	ATG5
A_23_P212508	0.000804	0.000257	3.7286166	0.086185	1.4520961	TF
A_23_P414793	0.000947	0.000313	3.6756022	-0.092804	0.6509382	CP
A_23_P171258	0.00142	0.000503	3.5432347	-0.530071	0.3334705	ABCB7
A_23_P75268	0.00145	0.000513	3.5374463	-0.548875	0.306998	VDAC2
A_23_P120883	0.00156	0.000561	-3.5124734	-0.6297	-0.7408325	HMOX1
A_23_P28075	0.00167	0.000607	-3.4899252	-0.70225	-0.380959	GPX4
A_23_P216004	0.00199	0.000744	3.4315078	-0.888314	0.486199	SLC25A37
A_23_P212617	0.00212	0.000798	3.4111082	-0.952642	0.9686471	TFRC
A_24_P329924	0.00374	0.00154	-3.2160412	-1.550671	-0.4610779	SIK3
A_24_P369263	0.0039	0.00161	-3.2017129	-1.593368	-0.2239645	MMS19
A_23_P210920	0.00452	0.00191	3.1499317	-1.746253	0.2580078	GSS
A_24_P37319	0.0086	0.00397	2.9181147	-2.403202	0.4179854	ACSL3
A_23_P102391	0.00925	0.00431	-2.8911928	-2.476551	-0.5596219	SLC40A1
A_23_P26810	0.0108	0.00515	-2.8326032	-2.621562	-0.3815779	TP53
A_24_P914134	0.0112	0.00534	-2.8200157	-2.667492	-0.7960931	PRNP
A_23_P340158	0.0114	0.00547	-2.8118143	-2.689213	-0.2940723	ISCU
A_23_P102842	0.0128	0.00617	2.7710106	-2.796424	0.3605182	NFS1
A_24_P141688	0.0128	0.00621	-2.7691731	-2.801138	-0.2210804	PCBP2
A_23_P352879	0.0148	0.00733	2.7119417	-2.949079	0.2265844	GCLC
A_23_P378722	0.0165	0.00827	2.6704363	-3.054532	0.2980375	SAT1
A_32_P220715	0.0198	0.0101	-2.5995589	-3.231139	-0.2192822	MAP1LC3B
A_24_P201360	0.0702	0.0421	2.0475814	-4.438579	0.2614559	ACSL5
A_23_P15402	0.12	0.0781	-1.7721146	-4.960312	-0.1234845	SAT2
A_23_P87216	0.127	0.0834	1.7407313	-5.013557	0.0964581	SLC3A2
A_32_P204381	0.137	0.0904	1.7021537	-5.077747	0.1102072	CIAPIN1
A_23_P49082	0.161	0.11	-1.6080206	-5.228527	-0.1644578	NUBP2
A_24_P401990	0.179	0.124	-1.5455388	-5.324009	-0.1072505	ERCC2
A_23_P211493	0.259	0.191	-1.3673328	-4.783734	-0.5239	TMPRSS6
A_23_P9416	0.261	0.193	-1.3071538	-5.654353	-0.1597225	ACO1
A_23_P302005	0.282	0.21	-1.2571123	-5.716828	-0.1461965	STON1
A_23_P428260	0.317	0.242	-1.1742435	-5.798874	-0.1831281	STEAP2
A_24_P103025	0.5	0.417	-0.8138744	-6.165063	-0.0554886	PCBP1
A_23_P55518	0.508	0.425	-0.7997346	-6.176233	-0.0685032	SMAD7
A_23_P144656	0.513	0.43	-0.8104744	-5.293376	-0.2458	CDH10
A_23_P145204	0.63	0.552	0.6080131	-5.420386	0.1201	HFE
A_23_P41424	0.866	0.828	-0.217608	-6.466688	-0.0289938	SLC39A8
A_23_P38154	0.946	0.929	-0.0896277	-6.486007	-0.0076374	FDXR
