	idx	beta	pval	cilb	ciub	i2	tau2
TOP2A	819	-26.5784330656503	7.84108144150384e-13	19.3068720427199	33.8499940885806	0	0
FOXO1.1	2252	323.239694707475	2.52466598033481e-08	-436.948964602946	-209.530424812004	0	0
SSRP1	484	57.2384924431871	3.21380306365909e-08	-77.5274865687823	-36.949498317592	0	0
VDR.1	3781	-59.0072054175621	2.65670207465847e-07	36.5343743670028	81.4800364681214	0	0
MSL3	7072	-193.812421785847	2.94972858751668e-07	119.715930839762	267.908912731933	55.0731208018456	2415.48463667971
UBE2A.1	1427	-139.424240779828	3.30425827889362e-07	85.8972666702103	192.951214889445	0	0
TAF7	551	208.06633285581	3.86772155751412e-07	-288.415880273503	-127.716785438117	0	0
NAP1L1.4	12350	453.959706798846	9.43685188255004e-07	-635.427958194432	-272.491455403259	0	0
UBN1	6778	-68.125966862133	1.43596286837382e-06	40.4234965942891	95.8284371299769	0	0
ZBTB16	5410	649.726978870694	3.58026725494307e-06	-924.509003513647	-374.944954227741	0	0
DR1.3	16022	-32.4081572138666	6.26381030038989e-06	18.3468690551373	46.4694453725958	9.69976095270067e-09	5.58556813392583e-08
APOBEC3F	14369	-13.542585687059	6.49855086890378e-06	7.65655073049867	19.4286206436193	0	0
PRDM1	16559	-53.4544016333049	7.975134752548e-06	29.9944345469393	76.9143687196705	0	0
SYNCRIP.3	17198	147.054493906922	8.58699612111541e-06	-211.82336102141	-82.2856267924343	0	0
PCGF2.3	13618	83.6555999725048	1.04732969134789e-05	-120.859109810957	-46.4520901340529	0	0
KAT8.1	21180	61.0433462822248	1.34860712488959e-05	-88.5343730904892	-33.5523194739605	0	0
SCMH1	20579	38.1411772393561	1.49258533015602e-05	-55.4065666155749	-20.8757878631373	0	0
KAT5.2	13637	81.4121849578405	2.12429338064966e-05	-118.944431616708	-43.8799382989728	0	0
DPY30...MEMO1	18429	-61.2284627425746	2.49017478453033e-05	32.7620362811588	89.6948892039903	0	0
ANP32B.1	834	494.580927730016	3.12612634587265e-05	-727.372124971164	-261.789730488868	0	0
JADE1	17882	92.7091713546083	5.04508849338627e-05	-137.535954753766	-47.882387955451	0	0
CDK5	3774	-31.9421761159215	5.10361613189294e-05	16.4871936684537	47.3971585633893	0	0
ZMYND11	1664	137.92378535245	6.86051558816894e-05	-205.82651363537	-70.0210570695293	0	0
PHF1	2457	35.0325570798648	6.87361723216003e-05	-52.2817732986734	-17.7833408610561	0	0
SAP25...LRCH4	4219	-61.1110443769117	9.78095435485242e-05	30.3675637549995	91.8545249988239	0	0
PARP1	8141	-115.646374362613	9.82811546516601e-05	57.4500805948395	173.842668130386	73.2748435009622	1841.97480807019
BRCA1.1	11245	-19.7454989887701	0.000136648621622674	9.59896657343826	29.892031404102	0	0
