	idx	beta	pval	cilb	ciub	i2	tau2
MIR4640...DDR1	1	-8.00833841448228	0.771586047353125	-62.0765643635637	46.0598875345992	45.4258762098902	1090.36583130694
RFC2	2	7.14302649555018	0.413848975533568	-9.99001208070569	24.276065071806	0	0
HSPA6	3	-32.5712370446034	0.527738956726375	-133.667619746525	68.5251456573185	76.5213439319794	5950.85001508602
PAX8	4	-80.5795141136225	0.0120200501767023	-143.462045437083	-17.6969827901622	0	0
GUCA1A	5	27.2235930094182	0.0459908082646138	0.484500466685258	53.9626855521511	59.5959062403054	322.232121582133
MIR5193...UBA7	6	-41.8634665770253	0.000370293302367387	-64.9088928502324	-18.8180403038182	0	0
THRA	7	-1.86051056558601	0.634944219815667	-9.54099065207133	5.81996952089932	0	0
PTPN21	8	9.84338009505785	0.0427716440427402	0.320523303860623	19.3662368862551	5.18952802998934	5.49648843755772
CCL5	9	-552.031071257883	0.00398358123494636	-927.782567559442	-176.279574956325	88.3441670498337	94564.9898224523
CYP2E1	10	2.04806712011348	0.466186048046704	-3.46057222857822	7.55670646880517	0	0
EPHB3	11	-14.6833817591483	0.136866652663671	-34.0297450900556	4.662981571759	0	0
ESRRA	12	-7.33089918699825	0.338908993362775	-22.3554212393864	7.69362286538989	0	0
CYP2A6	13	4.8225701371814	0.625412120642329	-14.5386985678412	24.183838842204	0	0
GAS6	14	-163.283674807289	0.292383331476889	-467.232582134478	140.6652325199	9.11419514816355e-10	1.32574435612238e-06
MMP14	15	78.8610882750979	0.0894143593298	-12.1399950122806	169.862171562476	0	0
TRADD	16	-62.3690369454802	0.0634599497796304	-128.233271631924	3.49519774096338	55.4790742324408	1946.48899919291
CHURC1.FNTB...FNTB	17	14.5291625715616	0.0392814924020409	0.713774759399216	28.344550383724	0	0
PLD1	18	20.8899781330649	0.046885063320663	0.287732694307955	41.4922235718218	27.0970389466768	97.708988961805
DTX2P1.UPK3BP1.PMS2P11	19	39.6047540967248	0.0447581065843933	0.92664819983171	78.2828599936178	0	0
BAD	20	15.7989977450039	0.0114582235973085	3.55195978588971	28.0460357041181	7.98680094695729e-07	1.28397028941115e-06
PRPF8	21	76.4196872350975	0.0374539351818012	4.4371872492304	148.402187220965	13.4352865368848	1026.41351923917
