	beta	P
TMEM132C	-4.72118176907087	1.61246900407263e-27
PEG3	-2.57998321334523	3.92328822970259e-20
USP44	-1.72167968018797	9.39404339553648e-15
ADHFE1	-1.66627402728385	9.90504304095609e-15
GFRA1	-2.70735725697647	9.30763402323346e-12
CDO1	-2.95227125150327	3.57105068484277e-11
RNLS	-0.67669945513857	1.71644564210321e-10
ITGA8	-1.76993177515111	3.46122697600902e-10
RUNDC3B	-1.71005917609596	5.5620900206584e-10
AKAP12	-1.57760241992771	1.60715666471456e-09
SOX11	3.34309932779388	3.2028442729684e-09
CH25H	-1.29016543135612	1.75348926352837e-08
ZNF781	-1.32940881719203	1.97608505738811e-08
ZNF385B	-2.37990035076815	2.10312848770837e-08
OTX1	2.97589697493059	4.12987565736867e-08
ZNF385D	-1.55566581435796	1.80562568999338e-07
PCDH10	-2.05012953574341	1.95616816474333e-07
EYA4	-2.013646631712	7.85821640586169e-07
MNX1	2.94430461269718	3.50867414259979e-06
TRIM58	-1.66579307924307	3.74291569344088e-06
APC	-0.406686666739463	5.06222550619703e-06
ZNF415	-0.842041144323116	7.18431462159799e-06
KCNA3	-1.33497969059214	8.30165048333498e-06
ZNF132	-0.584943142222495	9.57716700068598e-06
ZNF518B	-0.49496413734453	9.90755885743198e-06
ACSS3	-1.50853933617072	1.49777654481869e-05
ZNF844	-0.711009656185913	2.04444539183284e-05
ZNF569	-0.438091594865201	6.00877313387443e-05
ZNF418	-0.851239786946615	8.15798323641052e-05
SHOX2	2.11489631180859	8.16987527808538e-05
ZNF470	-0.528012564351099	8.95522165447705e-05
DLX5	1.66869546696138	0.000151335631235412
CNR1	-1.67826627221791	0.000176772481178429
FOXB1	1.35985873512315	0.000183258086135842
TLX1	2.7646392297491	0.00023872144930088
ZNF583	-0.488487774212668	0.000312818703769556
DMRTA2	2.01259671721923	0.000388792676307634
ZNF273	0.432302411593934	0.000432122264353037
PDE4B	-0.610765507497303	0.000584729841578356
HIST1H3G	2.20773675375571	0.00072764480749627
TLX2	1.92672139230646	0.000880083079345358
GSC	1.33723660594391	0.00103875076155176
ZNF570	-0.354583394896912	0.00116553161251271
NKAIN4	0.923953184320048	0.00149820979614919
SRCIN1	0.95118628769219	0.0021921463913964
SLC6A2	-2.31320652087036	0.00252303162634777
GRIK4	-0.792611597127773	0.00282594705425105
SLITRK5	-1.3361821798717	0.0035786262808248
FNDC1	0.819786858506325	0.00440043198135027
PEX5L	-0.810630898694396	0.0122871781932276
RYR2	-1.10068754243713	0.0134982576020895
ZIK1	-0.603415683952814	0.0137776687872794
ELMO1	-0.56069032708068	0.0189768190956935
ZNF790	-0.196330083445484	0.020453452569391
TFAP2E	0.413258002058152	0.0231114133472731
BCAT1	0.481928347712716	0.0276486821219485
LRAT	-0.885132023514705	0.0326084676571866
VSTM2A	-1.81500627643875	0.0331329472913407
LINC00461	-1.42291223545171	0.0437227007468402
TRH	-1.08044427181025	0.0568888751282568
BCAN	0.715165890837932	0.0749077271881925
ADCY2	-0.906322934829877	0.0749464196136525
GRIN1	0.955025908528016	0.0766760636558043
ZNF793	-0.314296502158749	0.0901757194806933
IFFO1	-0.347676983316595	0.0931752903604934
SPEG	-0.713023701743103	0.1155935600996
TFPI2	-0.511001882882711	0.115995484748889
TACC2	-0.279882605823134	0.117425462526173
HOXA1	0.483053985788953	0.118767954516847
SPAG6	-0.87301196459791	0.132468361875881
NKX1-2	1.09130397673737	0.140011773023703
THY1	0.496233404642978	0.153123207365426
WNT7B	0.976209042705845	0.194841542453633
SCOC	-0.137526654305628	0.206593081211609
HOXD9	0.755167790359785	0.210383064420732
TBX4	0.789160461442334	0.220269283295969
POU4F3	0.569839314359913	0.235621813612881
ARRB2	0.186056125690576	0.239430688530996
ZNF345	-0.133420443834036	0.262735914771006
CHST2	0.26083984738372	0.271064620805875
ZNF461	-0.0941839438494317	0.279284330836019
HOXA9	0.523342378510102	0.311281342169529
LHX1	1.09979457012235	0.312868667519252
PITX2	0.928229256921668	0.313900465066742
SATB2-AS1	0.588184713847068	0.322519473761053
NTM	0.330750469256713	0.327677115630654
FGF8	0.596386514080028	0.332556014748137
SALL1	-0.431957952063462	0.383914388268596
NR2E1	0.646488576176465	0.392750130418604
ZNF878	-0.196005209942095	0.402998883438544
FOXE1	0.690006018988934	0.409066170022511
KIAA0226L	0.164982667510514	0.437109351046463
CD200	-0.240855195269022	0.466943715583614
SIM1	-0.393249244332647	0.512399674587777
TRIM71	0.415298553080305	0.543375473878946
SPATA32	0.0963321175025511	0.609054063004146
HOXD4	0.341621308542979	0.621230906394855
EOMES	-0.110961675469904	0.690453948564563
AHRR	-0.0460324484997015	0.787569005449261
SLC2A14	0.0743539762671632	0.87838531346836
ZNF71	0.00825814402837724	0.95092059467299
