	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
213869_x_at	2.13e-08	5.33e-10	8.5379859	-12.774166	1.29	THY1
208851_s_at	2.92e-08	7.73e-10	8.4041563	-12.405504	0.968	THY1
203525_s_at	2.28e-07	9.74e-09	-7.5098659	-9.887465	-0.95	APC
203921_at	8.84e-07	4.87e-08	6.9573496	-8.289844	1.48	CHST2
208850_s_at	1.23e-06	7.24e-08	6.8221653	-7.894945	1.01	THY1
221066_at	1.48e-06	9.07e-08	-6.7458443	-7.671396	-0.294	RXFP3
206932_at	1.64e-06	1.01e-07	-6.7090462	-7.563465	-2.83	CH25H
214930_at	8.17e-06	6.65e-07	-6.0769807	-5.697818	-0.425	SLITRK5
203526_s_at	9.28e-06	7.76e-07	-6.0254788	-5.545101	-0.585	APC
215321_at	1.19e-05	1.05e-06	-5.9260699	-5.250173	-0.854	RUNDC3B
203388_at	1.34e-05	1.2e-06	5.8812098	-5.117032	0.48	ARRB2
210135_s_at	2.48e-05	2.46e-06	5.6414778	-4.405392	1.53	SHOX2
205514_at	0.00013	1.72e-05	-4.9938663	-2.490704	-0.677	ZNF415
211382_s_at	0.000138	1.84e-05	-4.9708138	-2.423019	-0.588	TACC2
207558_s_at	0.000164	2.26e-05	4.90294	-2.224013	1.37	PITX2
214265_at	0.000423	6.78e-05	-4.5329646	-1.148399	-0.976	ITGA8
203527_s_at	0.000485	7.93e-05	-4.4795627	-0.994698	-0.212	APC
204914_s_at	0.000589	9.97e-05	4.4018642	-0.771899	0.962	SOX11
208496_x_at	0.000958	0.000177	-4.2063855	-0.21622	-0.292	HIST1H3G
214390_s_at	0.00137	0.000268	4.0619197	0.189387	0.452	BCAT1
208443_x_at	0.00193	0.000399	3.9238826	0.572356	0.642	SHOX2
205604_at	0.00193	0.000401	3.9223383	0.576613	0.438	HOXD9
213436_at	0.00215	0.000454	-3.8788241	0.696309	-0.192	CNR1
215239_x_at	0.00329	0.000751	-3.7004971	1.181293	-0.846	ZNF273
214452_at	0.00356	0.000826	3.6667815	1.271923	0.949	BCAT1
207402_at	0.0045	0.00109	-3.5674213	1.536895	-0.172	ZNF132
213707_s_at	0.00459	0.00111	3.5596551	1.557468	0.707	DLX5
204913_s_at	0.00546	0.00136	3.4858288	1.75201	0.869	SOX11
205522_at	0.00578	0.00146	3.461028	1.816934	0.588	HOXD4
204915_s_at	0.0061	0.00156	3.4378073	1.877521	0.365	SOX11
209242_at	0.0066	0.00171	-3.4030814	1.967759	-0.633	PEG3
202289_s_at	0.00821	0.00223	-3.3064434	2.216482	-0.509	TACC2
207410_s_at	0.0123	0.00358	-3.127747	2.666522	-0.143	TLX2
209243_s_at	0.0154	0.00467	-3.0263937	2.915655	-0.178	PEG3
215715_at	0.0174	0.00546	2.9666519	3.060297	0.505	SLC6A2
208513_at	0.0249	0.00835	-2.7993381	3.456162	-0.162	FOXB1
219471_at	0.0262	0.00891	2.7736244	3.515743	0.31	KIAA0226L
44790_s_at	0.0352	0.0127	2.6290294	3.844203	0.447	KIAA0226L
205605_at	0.0416	0.0156	-2.5450941	4.029534	-0.16	HOXD9
207327_at	0.044	0.0167	2.5164624	4.091822	0.337	EYA4
217213_at	0.047	0.0181	-2.4829797	4.164049	-0.0997	SLC6A2
219616_at	0.0477	0.0184	-2.4750565	4.181042	-0.134	ACSS3
214614_at	0.0534	0.0211	2.4165527	4.305345	0.235	MNX1
209583_s_at	0.0635	0.026	2.3266076	4.492323	0.898	CD200
217681_at	0.0651	0.0268	2.3134019	4.519345	0.313	WNT7B
211125_x_at	0.0697	0.0291	-2.2771507	4.592944	-0.151	GRIN1
210353_s_at	0.0739	0.0314	2.2447249	4.658052	0.201	SLC6A2
206912_at	0.0744	0.0316	2.2409179	4.665651	1.01	FOXE1
217621_at	0.0761	0.0326	2.227653	4.692053	0.144	SLC6A2
217687_at	0.0885	0.0392	2.1441921	4.855466	0.141	ADCY2
213219_at	0.0935	0.0419	2.1133418	4.914669	0.0926	ADCY2
204513_s_at	0.0951	0.0428	2.1035905	4.933245	0.307	ELMO1
210033_s_at	0.107	0.0499	-2.0329947	5.065745	-0.106	SPAG6
220317_at	0.132	0.0645	1.9101853	5.287721	0.0909	LRAT
206716_at	0.136	0.0669	-1.8925132	5.318751	-0.147	UMOD
208449_s_at	0.153	0.0775	-1.8200468	5.443535	-0.0935	FGF8
210782_x_at	0.162	0.0834	-1.7830081	5.505767	-0.108	GRIN1
221623_at	0.163	0.0842	-1.7786191	5.513071	-0.123	BCAN
205914_s_at	0.17	0.0888	1.7516223	5.55767	0.105	GRIN1
216611_s_at	0.178	0.0937	-1.7241988	5.602391	-0.105	SLC6A2
207236_at	0.192	0.103	-1.673011	5.684275	-0.163	ZNF345
211302_s_at	0.202	0.11	1.6389143	5.737658	0.352	PDE4B
207443_at	0.228	0.129	1.5555964	5.864131	0.136	NR2E1
209278_s_at	0.235	0.134	1.5355146	5.89376	0.17	TFPI2
203708_at	0.24	0.137	1.5208756	5.915148	0.5	PDE4B
209582_s_at	0.243	0.14	1.5110485	5.929405	0.447	CD200
221411_at	0.262	0.154	-1.459389	6.00302	-0.0593	HOXD12
221086_s_at	0.28	0.168	-1.4099809	6.071309	-0.0418	FEZF2
91920_at	0.297	0.181	1.3655532	6.130926	0.116	BCAN
211049_at	0.31	0.191	-1.3348392	6.17114	-0.0705	TLX2
207179_at	0.316	0.196	1.3201633	6.190064	0.131	TLX1
207940_x_at	0.324	0.203	-1.2980935	6.218168	-0.0938	CNR1
220634_at	0.376	0.247	-1.178002	6.36351	-0.0671	TBX4
205696_s_at	0.379	0.249	1.1719295	6.370515	0.197	GFRA1
208239_at	0.387	0.257	-1.153811	6.391219	-0.0444	FOXE1
214639_s_at	0.424	0.29	-1.0740878	6.478758	-0.166	HOXA1
210032_s_at	0.448	0.313	-1.0230394	6.531734	-0.045	SPAG6
209721_s_at	0.454	0.319	1.0109147	6.543961	0.104	IFFO1
206230_at	0.482	0.347	0.954172	6.59935	0.0464	LHX1
210134_x_at	0.525	0.388	0.8734872	6.672875	0.0504	SHOX2
215671_at	0.529	0.393	0.8642532	6.680895	0.0414	PDE4B
208554_at	0.57	0.436	-0.7877773	6.744166	-0.0394	POU4F3
