CHR	arm	gene	dmr.no	dmr.start	dmr.end	dmr.size	dmr.core.start	dmr.core.end	dmr.core.size	X01_AVG	X11_AVG	deltaBeta	dmr.p	dmr.p.rank
1	p	LOC100130417	1	846725	850094	3370	846742	849540	2799	0.515970550300192	0.556023933553355	0.0400533832531633	1.92168530982958e-05	6358
1	p	FLJ39609	2	854688	854844	157	854766	854838	73	0.738919037582479	0.843966641296405	0.105047603713926	6.56486029253534e-10	4749
1	p	C1orf170	3	915854	917893	2040	916058	917892	1835	0.53229186683415	0.593511538273878	0.0612196714397277	4.59694945060415e-20	2518
1	p	HES4	4	941277	943948	2672	941382	943647	2266	0.739018287900059	0.816710964010853	0.0776926761107938	2.55255876234108e-20	2484
1	p	AGRN	5	976090	976305	216	976168	976227	60	0.217424055426691	0.0576240488190011	-0.15980000660769	6.32306811548919e-12	4098
1	p	RNF223	6	1006437	1009745	3309	1007730	1009445	1716	0.603590646795865	0.581910700955814	-0.0216799458400506	5.95476980490865e-09	5030
1	p	RP11-465B22.5	7	1061909	1065006	3098	1062237	1064942	2706	0.737934940954921	0.727034253129346	-0.0109006878255749	2.25529649464183e-13	3747
1	p	RP11-465B22.5	8	1077263	1080763	3501	1078147	1080611	2465	0.585151135175378	0.645424555632405	0.060273420457027	4.182937407286e-10	4687
1	p	MIR200B	9	1099481	1099733	253	1099563	1099651	89	0.427149646892632	0.541103404354997	0.113953757462365	1.42499219897634e-26	1827
1	p	MIR200A	10	1102622	1106971	4350	1102833	1106175	3343	0.732742610418644	0.753606932645301	0.020864322226657	5.73884895394258e-18	2829
1	p	TTLL10	11	1114771	1115211	441	1114912	1115083	172	0.792735931664947	0.854747942956251	0.0620120112913035	7.92197123563291e-17	3006
1	p	TTLL10	12	1117513	1119035	1523	1117562	1118965	1404	0.697864665063329	0.677904853835697	-0.0199598112276322	9.41783758862746e-05	6585
1	p	PUSL1	13	1244936	1245154	219	1245014	1245076	63	0.374592817086536	0.482211664938699	0.107618847852163	3.30592751380436e-15	3368
1	p	TAS1R3	14	1267115	1267330	216	1267117	1267252	136	0.643930500274076	0.78135285447737	0.137422354203295	3.52426134934793e-18	2782
1	p	MXRA8	15	1296318	1298460	2143	1296956	1297576	621	0.606676621215741	0.519186208068523	-0.0874904131472184	6.79737517517054e-17	2994
1	p	ATAD3C	16	1396008	1396247	240	1396086	1396169	84	0.592629920109883	0.526189166593055	-0.0664407535168284	1.52551213696639e-11	4215
1	p	C1orf70	17	1471938	1472220	283	1471938	1472146	209	0.71179232631654	0.788784575772395	0.0769922494558547	3.3004018369051e-08	5309
1	p	SSU72	18	1490668	1490950	283	1490676	1490906	231	0.751948001766225	0.810574949458901	0.0586269476926762	1.98342226061973e-05	6362
1	p	NADK	19	1680267	1684118	3852	1681921	1684095	2175	0.840259106572107	0.874317189593145	0.0340580830210383	1.06470358134183e-06	5892
1	p	NADK	20	1688239	1690254	2016	1688883	1689887	1005	0.721825044520076	0.828383471936723	0.106558427416648	2.37810782853869e-16	3104
1	p	CALML6	21	1845896	1846106	211	1845940	1846098	159	0.723286364137978	0.777124556860194	0.0538381927222159	6.2033603769909e-09	5033
1	p	TMEM52	22	1849016	1849374	359	1849073	1849305	233	0.817047761079297	0.842208206139962	0.0251604450606648	4.55777342965182e-07	5742
1	p	TMEM52	23	1852819	1858166	5348	1854473	1858106	3634	0.568832773428881	0.688573618250129	0.119740844821248	1.35790072092873e-23	2107
1	p	TMEM52	24	1860021	1863329	3309	1860127	1861922	1796	0.715269197269088	0.72919061435301	0.0139214170839222	0.0034704499632934	6849
1	p	KIAA1751	25	1869508	1873687	4180	1870495	1873499	3005	0.698098448089747	0.796160767413902	0.098062319324155	7.3073783609505e-23	2180
1	p	KIAA1751	26	1875721	1875885	165	1875780	1875876	97	0.24457028577724	0.282711211834172	0.0381409260569314	2.43843833692593e-06	6016
1	p	KIAA1751	27	1894969	1895251	283	1895061	1895206	146	0.664462555618722	0.776454089535501	0.11199153391678	1.13649348951049e-11	4171
1	p	GABRD	28	1959735	1959891	157	1959747	1959832	86	0.813146881932533	0.912989115830166	0.099842233897633	2.24928726907804e-12	3990
1	p	PRKCZ	29	2002078	2003528	1451	2002722	2003326	605	0.853074855350524	0.839674383496675	-0.0134004718538482	0.0255294533823822	6912
1	p	PRKCZ	30	2005411	2005642	232	2005489	2005564	76	0.849926514059571	0.799210713324401	-0.0507158007351696	4.13503644299993e-12	4054
1	p	PRKCZ	31	2106049	2106681	633	2106222	2106620	399	0.704993035157529	0.644449489155818	-0.0605435460017111	5.96446646946224e-11	4390
1	p	C1orf86	32	2124908	2125384	477	2125049	2125243	195	0.568097615256901	0.650095388782401	0.0819977735255004	1.65951222217827e-18	2732
1	p	SKI	33	2219288	2220576	1289	2219336	2220497	1162	0.654950512134502	0.663035668390558	0.00808515625605633	1.0095730422574e-09	4808
1	p	SKI	34	2230460	2230809	350	2230601	2230668	68	0.625811458174069	0.445367286874023	-0.180444171300046	1.15968582609992e-38	1100
