	wgEncodeBroadHistoneGm12878H3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneGm12878H3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneGm12878H3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneH1hescH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneH1hescH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneH1hescH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneHsmmH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneHsmmH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneHsmmH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneHuvecH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneHuvecH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneHuvecH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneK562H3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneK562H3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneK562H3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneNhekH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneNhekH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneNhekH3k4me3StdSig.bigWig.tab	wgEncodeBroadHistoneNhlfH3k27acStdSig.bigWig.tab	wgEncodeBroadHistoneNhlfH3k4me1StdSig.bigWig.tab	wgEncodeBroadHistoneNhlfH3k4me3StdSig.bigWig.tab
chr10:115802404-115802550	3.329	4.582	19.499	0.000	2.863	2.521	1.776	2.562	1.028	3.486	4.785	5.428	1.030	1.870	0.942	1.272	10.330	9.393	0.840	0.960	0.850
chr10:115802640-115803175	4.444	5.908	45.931	4.070	11.778	22.490	0.976	4.600	23.839	4.813	14.353	21.418	2.072	2.428	2.114	2.332	13.984	49.317	1.612	2.332	3.929
chr10:115803345-115804815	2.294	7.342	10.790	3.367	9.777	5.295	1.696	3.618	13.805	3.311	8.881	13.860	1.904	0.925	1.430	1.194	2.592	8.503	1.905	2.615	2.994
chr10:115804880-115805555	2.134	5.776	10.023	1.816	8.964	6.346	2.222	3.378	14.659	6.628	10.498	20.674	0.960	0.987	0.000	1.024	3.707	7.090	0.582	1.598	4.458
chr10:115805645-115805890	2.757	4.306	6.077	0.861	7.264	1.869	0.906	3.778	2.852	0.962	10.220	19.945	0.850	1.622	0.000	0.925	5.653	8.696	0.975	1.781	2.155
chr10:135337100-135337575	0.000	0.938	1.609	1.107	0.872	2.312	1.267	1.032	1.973	2.462	1.800	1.689	0.945	1.943	2.436	5.469	2.152	3.573	1.143	1.475	1.766
chr10:135338045-135338059	0.000	0.000	3.111	0.589	0.000	1.000	0.000	0.000	1.000	1.829	0.000	1.000	0.871	0.000	0.560	0.877	0.000	1.000	0.000	1.000	1.769
chr10:135341200-135341555	0.840	0.000	1.927	0.880	1.897	2.000	1.210	0.949	2.608	0.000	3.087	1.394	1.063	0.860	1.682	0.993	1.746	6.213	0.000	0.000	1.168
chr10:135341645-135341873	0.838	1.137	0.925	0.000	0.433	1.811	0.967	0.932	4.230	1.967	0.487	3.235	0.867	0.000	0.800	0.000	2.698	8.296	0.000	0.000	2.211
chr10:135342471-135342866	1.157	2.769	2.775	0.000	0.898	1.965	0.974	2.093	4.344	0.899	1.911	2.027	2.202	5.810	11.617	0.905	4.158	12.520	0.875	0.933	2.233
chr10:45865754-45865917	5.091	7.151	5.693	3.000	0.000	0.933	1.650	0.904	0.400	0.000	0.869	1.912	2.000	3.637	0.652	0.000	0.890	0.923	0.000	1.986	0.429
chr10:45867080-45867368	7.074	7.098	9.126	1.560	1.272	2.153	1.839	0.000	0.000	0.964	1.504	1.478	1.105	1.775	3.080	0.856	0.868	1.358	2.190	0.000	1.247
chr10:45868585-45870015	30.810	4.203	30.016	2.235	5.704	20.684	0.000	2.875	5.966	2.126	8.387	7.473	4.835	10.814	28.559	0.888	7.630	5.643	0.870	3.098	3.584
chr10:45870065-45870415	25.602	7.493	42.731	2.414	11.192	6.698	2.200	3.177	1.782	2.162	13.562	3.703	2.974	17.864	11.424	0.925	10.550	9.735	1.215	4.029	3.343
chr10:45870440-45870635	24.568	9.886	36.171	3.576	12.150	2.524	2.239	1.451	0.809	1.267	5.802	1.528	2.600	15.584	7.846	1.200	8.647	1.811	0.000	2.227	0.713
chr10:45871125-45871613	18.365	12.039	35.438	1.619	7.546	1.055	1.601	0.889	1.448	1.333	0.821	1.260	5.702	40.470	13.205	1.163	0.951	2.887	1.269	1.439	1.151
chr10:96696561-96696750	0.949	0.893	2.772	2.860	1.460	1.603	0.719	0.000	0.920	0.000	0.910	0.910	0.160	0.000	0.000	0.000	0.000	0.564	1.050	0.920	1.522
chr11:113344860-113345075	0.886	0.922	1.072	2.321	14.875	7.098	1.687	8.865	6.112	0.000	2.214	1.240	0.939	1.312	1.200	0.939	6.082	2.433	0.000	0.943	1.767
chr11:113345120-113345355	0.907	1.670	3.297	1.357	5.428	6.982	2.738	3.449	19.596	2.329	5.630	5.775	0.000	3.849	3.654	0.822	6.249	11.041	0.000	2.528	3.038
