wgEncodeAwgTfbsBroadDnd41CtcfUniPk	Dnd41+Broad+CTCF	CTCF	CTCF	Dnd41	None	Broad
wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk	Dnd41+Broad+EZH2_(39875)	EZH2	EZH2_(39875)	Dnd41	None	Broad
wgEncodeAwgTfbsBroadGm12878CtcfUniPk	GM12878+Broad+CTCF	CTCF	CTCF	GM12878	None	Broad
wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk	GM12878+Broad+EZH2_(39875)	EZH2	EZH2_(39875)	GM12878	None	Broad
wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk	H1-hESC+Broad+CHD1_(A301-218A)	CHD1	CHD1_(A301-218A)	H1-hESC	None	Broad
wgEncodeAwgTfbsBroadH1hescCtcfUniPk	H1-hESC+Broad+CTCF	CTCF	CTCF	H1-hESC	None	Broad
wgEncodeAwgTfbsBroadH1hescEzh239875UniPk	H1-hESC+Broad+EZH2_(39875)	EZH2	EZH2_(39875)	H1-hESC	None	Broad
wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk	H1-hESC+Broad+JARID1A_(ab26049)	KDM5A	JARID1A_(ab26049)	H1-hESC	None	Broad
wgEncodeAwgTfbsBroadH1hescRbbp5a300109aUniPk	H1-hESC+Broad+RBBP5_(A300-109A)	RBBP5	RBBP5_(A300-109A)	H1-hESC	None	Broad
wgEncodeAwgTfbsBroadHelas3CtcfUniPk	HeLa-S3+Broad+CTCF	CTCF	CTCF	HeLa-S3	None	Broad
wgEncodeAwgTfbsBroadHelas3Ezh239875UniPk	HeLa-S3+Broad+EZH2_(39875)	EZH2	EZH2_(39875)	HeLa-S3	None	Broad
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk	HeLa-S3+Broad+Pol2(b)	POLR2A	Pol2(b)	HeLa-S3	None	Broad
wgEncodeAwgTfbsBroadHepg2CtcfUniPk	HepG2+Broad+CTCF	CTCF	CTCF	HepG2	None	Broad
wgEncodeAwgTfbsBroadHepg2Ezh239875UniPk	HepG2+Broad+EZH2_(39875)	EZH2	EZH2_(39875)	HepG2	None	Broad
