chr1:2562481-2563340	859	515	977	1.13737	1.89709
chr1:2563997-2564227	230	127	125	0.543478	0.984252
chr1:2568240-2568481	241	241	715	2.9668	2.9668
chr1:11862320-11863930	1610	1610	131956	81.9605	81.9605
chr1:11864545-11866955	2410	2410	142511	59.1331	59.1331
chr1:60392005-60392685	680	680	16753.4	24.6374	24.6374
chr1:67628665-67629430	765	515	641.8	0.838954	1.24621
chr1:67631420-67632155	735	405	1238	1.68435	3.05679
chr1:98384620-98387175	2555	2555	191949	75.1267	75.1267
chr1:114413440-114413670	230	55	30.4	0.132174	0.552727
chr1:114414225-114415494	1269	1194	3909.76	3.08098	3.27451
chr1:114416680-114417755	1075	750	1459	1.35721	1.94533
chr1:115258640-115259850	1210	1210	137726	113.823	113.823
chr1:115261778-115262015	237	97	139	0.586498	1.43299
chr1:115263265-115263415	150	150	389.6	2.59733	2.59733
chr1:161471204-161471310	106	10	4.8	0.045283	0.48
chr1:161471925-161472130	205	205	505	2.46341	2.46341
chr1:161472805-161473130	325	300	389.6	1.19877	1.29867
chr1:161475005-161475581	576	495	1335.4	2.3184	2.69778
chr1:161476360-161477010	650	650	2648	4.07385	4.07385
chr1:169553842-169554690	848	533	706	0.832547	1.32458
chr1:169555500-169556055	555	255	983.6	1.77225	3.85725
chr1:169557445-169557730	285	180	176.2	0.618246	0.978889
chr1:169558400-169558630	230	155	367	1.59565	2.36774
chr1:173174425-173175230	805	805	11081	13.7652	13.7652
chr1:173175960-173176811	851	851	16184.8	19.0186	19.0186
chr1:173179420-173180190	770	770	2295	2.98052	2.98052
chr1:186649080-186650267	1187	1187	107220	90.3283	90.3283
chr1:186650960-186651235	275	275	3189	11.5964	11.5964
chr1:186651879-186652170	291	291	921	3.16495	3.16495
chr1:201080005-201080087	82	82	164	2	2
chr1:201080721-201081201	480	480	711.6	1.4825	1.4825
chr1:201083097-201084671	1574	1524	25535.2	16.2231	16.7554
chr1:206943865-206944935	1070	970	2413.2	2.25533	2.48784
chr1:206945620-206946010	390	385	613	1.57179	1.59221
chr1:206946705-206946707	2	2	2	1	1
chr1:206947500-206947895	395	295	521	1.31899	1.7661
chr1:206949625-206949839	214	125	111	0.518692	0.888
chr10:6102760-6102930	170	0	0	0	0
chr10:6103928-6104648	720	623	1216	1.68889	1.95185
chr10:6107880-6108165	285	285	853.2	2.99368	2.99368
chr10:8092666-8098666	6000	5384	39308.9	6.55149	7.30106
chr10:45865754-45865917	163	42	18	0.110429	0.428571
chr10:45867080-45867368	288	288	359	1.24653	1.24653
chr10:45868585-45871613	3028	2303	7073	2.33587	3.07121
chr10:49889840-49890095	255	255	1012.8	3.97176	3.97176
chr10:49891965-49894190	2225	1650	2689	1.20854	1.6297
chr10:64131645-64131821	176	176	156.8	0.890909	0.890909
chr10:64133373-64134315	942	942	45969.2	48.7996	48.7996
chr10:64134825-64135115	290	290	639	2.20345	2.20345
chr10:96696561-96696750	189	164	249.56	1.32042	1.52171
chr10:101288689-101294689	6000	5750	15355	2.55917	2.67043
chr10:115802404-115805890	3486	3190	10525	3.01922	3.29937
chr10:135337100-135338059	959	959	1874.76	1.95491	1.95491
chr10:135341200-135341873	673	673	999	1.4844	1.4844
