wgEncodeAwgDnaseDuke8988tUniPk	8988T	None	Duke
wgEncodeAwgDnaseDukeAosmcUniPk	AoSMC	serum_free_media	Duke
wgEncodeAwgDnaseDukeChorionUniPk	Chorion	None	Duke
wgEncodeAwgDnaseDukeCllUniPk	CLL	None	Duke
wgEncodeAwgDnaseDukeFibroblUniPk	Fibrobl	None	Duke
wgEncodeAwgDnaseDukeFibropUniPk	FibroP	None	Duke
wgEncodeAwgDnaseDukeGlioblaUniPk	Gliobla	None	Duke
wgEncodeAwgDnaseDukeGm12891UniPk	GM12891	None	Duke
wgEncodeAwgDnaseDukeGm12892UniPk	GM12892	None	Duke
wgEncodeAwgDnaseDukeGm18507UniPk	GM18507	None	Duke
wgEncodeAwgDnaseDukeGm19238UniPk	GM19238	None	Duke
wgEncodeAwgDnaseDukeGm19239UniPk	GM19239	None	Duke
wgEncodeAwgDnaseDukeGm19240UniPk	GM19240	None	Duke
wgEncodeAwgDnaseDukeH9esUniPk	H9ES	None	Duke
wgEncodeAwgDnaseDukeHelas3ifna4hUniPk	HeLa-S3	IFNa4h	Duke
wgEncodeAwgDnaseDukeHepatocytesUniPk	Hepatocytes	None	Duke
wgEncodeAwgDnaseDukeHpde6e6e7UniPk	HPDE6-E6E7	None	Duke
wgEncodeAwgDnaseDukeHsmmembUniPk	HSMM_emb	None	Duke
wgEncodeAwgDnaseDukeHtr8svnUniPk	HTR8svn	None	Duke
wgEncodeAwgDnaseDukeHuh75UniPk	Huh-7.5	None	Duke
wgEncodeAwgDnaseDukeHuh7UniPk	Huh-7	None	Duke
wgEncodeAwgDnaseDukeIpsUniPk	iPS	None	Duke
wgEncodeAwgDnaseDukeIshikawaestradiolUniPk	Ishikawa	Estradiol_100nM_1hr	Duke
wgEncodeAwgDnaseDukeIshikawatamoxifenUniPk	Ishikawa	4OHTAM_100nM_30m	Duke
wgEncodeAwgDnaseDukeLncapandrogenUniPk	LNCaP	androgen	Duke
wgEncodeAwgDnaseDukeMcf7hypoxiaUniPk	MCF-7	Hypoxia_LacAcid	Duke
wgEncodeAwgDnaseDukeMedulloUniPk	Medullo	None	Duke
wgEncodeAwgDnaseDukeMelanoUniPk	Melano	None	Duke
wgEncodeAwgDnaseDukeMyometrUniPk	Myometr	None	Duke
wgEncodeAwgDnaseDukeOsteoblUniPk	Osteobl	None	Duke
wgEncodeAwgDnaseDukePanisletdUniPk	PanIsletD	None	Duke
wgEncodeAwgDnaseDukePanisletsUniPk	PanIslets	None	Duke
wgEncodeAwgDnaseDukePhteUniPk	pHTE	None	Duke
wgEncodeAwgDnaseDukeProgfibUniPk	ProgFib	None	Duke
wgEncodeAwgDnaseDukeRwpe1UniPk	RWPE1	None	Duke
wgEncodeAwgDnaseDukeStellateUniPk	Stellate	None	Duke
wgEncodeAwgDnaseDukeT47dUniPk	T-47D	None	Duke
wgEncodeAwgDnaseDukeTh0UniPk	Adult_CD4_Th0	None	UW
wgEncodeAwgDnaseDukeUrotheliaUniPk	Urothelia	None	Duke
wgEncodeAwgDnaseDukeUrotheliaut189UniPk	Urothelia	UT189	Duke
wgEncodeAwgDnaseUwAg04449UniPk	AG04449	None	UW
wgEncodeAwgDnaseUwAg04450UniPk	AG04450	None	UW
wgEncodeAwgDnaseUwAg09309UniPk	AG09309	None	UW
wgEncodeAwgDnaseUwAg09319UniPk	AG09319	None	UW
wgEncodeAwgDnaseUwAg10803UniPk	AG10803	None	UW
wgEncodeAwgDnaseUwAoafUniPk	AoAF	None	UW
wgEncodeAwgDnaseUwBe2cUniPk	BE2_C	None	UW
wgEncodeAwgDnaseUwBjUniPk	BJ	None	UW
wgEncodeAwgDnaseUwCaco2UniPk	Caco-2	None	UW
wgEncodeAwgDnaseUwCd20UniPk	CD20+	None	UW
wgEncodeAwgDnaseUwCd34mobilizedUniPk	CD34+_Mobilized	None	UW
wgEncodeAwgDnaseUwCmkUniPk	CMK	None	UW
wgEncodeAwgDnaseUwGm06990UniPk	GM06990	None	UW
wgEncodeAwgDnaseUwGm12864UniPk	GM12864	None	UW
wgEncodeAwgDnaseUwGm12865UniPk	GM12865	None	UW
wgEncodeAwgDnaseUwH7hescUniPk	H7-hESC	None	UW
wgEncodeAwgDnaseUwHacUniPk	HAc	None	UW
wgEncodeAwgDnaseUwHaepicUniPk	HAEpiC	None	UW
wgEncodeAwgDnaseUwHahUniPk	HA-h	None	UW
wgEncodeAwgDnaseUwHaspUniPk	HA-sp	None	UW
wgEncodeAwgDnaseUwHbmecUniPk	HBMEC	None	UW
wgEncodeAwgDnaseUwHcfUniPk	HCF	None	UW
wgEncodeAwgDnaseUwHcfaaUniPk	HCFaa	None	UW
wgEncodeAwgDnaseUwHcmUniPk	HCM	None	UW
wgEncodeAwgDnaseUwHconfUniPk	HConF	None	UW
wgEncodeAwgDnaseUwHcpepicUniPk	HCPEpiC	None	UW
wgEncodeAwgDnaseUwHct116UniPk	HCT-116	None	UW
wgEncodeAwgDnaseUwHeepicUniPk	HEEpiC	None	UW
wgEncodeAwgDnaseUwHffUniPk	HFF	None	UW
wgEncodeAwgDnaseUwHffmycUniPk	HFF-Myc	None	UW
wgEncodeAwgDnaseUwHgfUniPk	HGF	None	UW
wgEncodeAwgDnaseUwHipepicUniPk	HIPEpiC	None	UW
wgEncodeAwgDnaseUwHl60UniPk	HL-60	None	UW
wgEncodeAwgDnaseUwHmfUniPk	HMF	None	UW
wgEncodeAwgDnaseUwHmvecdadUniPk	HMVEC-dAd	None	UW
wgEncodeAwgDnaseUwHmvecdbladUniPk	HMVEC-dBl-Ad	None	UW
wgEncodeAwgDnaseUwHmvecdblneoUniPk	HMVEC-dBl-Neo	None	UW
wgEncodeAwgDnaseUwHmvecdlyadUniPk	HMVEC-dLy-Ad	None	UW
wgEncodeAwgDnaseUwHmvecdlyneoUniPk	HMVEC-dLy-Neo	None	UW
wgEncodeAwgDnaseUwHmvecdneoUniPk	HMVEC-dNeo	None	UW
wgEncodeAwgDnaseUwHmveclblUniPk	HMVEC-LBl	None	UW
wgEncodeAwgDnaseUwHmvecllyUniPk	HMVEC-LLy	None	UW
wgEncodeAwgDnaseUwHnpcepicUniPk	HNPCEpiC	None	UW
wgEncodeAwgDnaseUwHpaecUniPk	HPAEC	None	UW
wgEncodeAwgDnaseUwHpafUniPk	HPAF	None	UW
wgEncodeAwgDnaseUwHpdlfUniPk	HPdLF	None	UW
wgEncodeAwgDnaseUwHpfUniPk	HPF	None	UW
wgEncodeAwgDnaseUwHrcepicUniPk	HRCEpiC	None	UW
wgEncodeAwgDnaseUwHreUniPk	HRE	None	UW
wgEncodeAwgDnaseUwHrgecUniPk	HRGEC	None	UW
wgEncodeAwgDnaseUwHrpepicUniPk	HRPEpiC	None	UW
wgEncodeAwgDnaseUwHvmfUniPk	HVMF	None	UW
wgEncodeAwgDnaseUwJurkatUniPk	Jurkat	None	UW
wgEncodeAwgDnaseUwMonocytescd14ro01746UniPk	Monocytes-CD14+_RO01746	None	UW
wgEncodeAwgDnaseUwNb4UniPk	NB4	None	UW
