0	G	GM12878	n/a	n/a	n/a	3	n/a,n/a/,GM12878,
1	1	H1-hESC	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC,
2	H	HeLa-S3	n/a	n/a	n/a	3	n/a,n/a/,HeLa-S3,
3	L	HepG2	n/a	n/a	n/a	3	n/a,n/a/,HepG2,
4	h	HMEC	n/a	n/a	n/a	3	n/a,n/a/,HMEC,
5	h	HSMM	n/a	n/a	n/a	3	n/a,n/a/,HSMM,
6	h	HSMMtube	n/a	n/a	n/a	3	n/a,n/a/,HSMMtube,
7	U	HUVEC	n/a	n/a	n/a	3	n/a,n/a/,HUVEC,
8	K	K562	n/a	n/a	n/a	3	n/a,n/a/,K562,
9	n	NH-A	n/a	n/a	n/a	3	n/a,n/a/,NH-A,
10	n	NHDF-Ad	n/a	n/a	n/a	3	n/a,n/a/,NHDF-Ad,
11	n	NHEK	n/a	n/a	n/a	3	n/a,n/a/,NHEK,
12	n	NHLF	n/a	n/a	n/a	3	n/a,n/a/,NHLF,
13	o	Osteobl	n/a	n/a	n/a	3	n/a,n/a/,Osteobl,
14	a	A549+DEX_100nM	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_100nM,
15	a	A549+EtOH_0.02pct	n/a	n/a	n/a	3	n/a,n/a/,A549+EtOH_0.02pct,
16	a	A549+DEX_50nM	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_50nM,
17	a	A549+DEX_5nM	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_5nM,
18	a	A549+DEX_500pM	n/a	n/a	n/a	3	n/a,n/a/,A549+DEX_500pM,
19	e	ECC-1+Estradiol_10nM	n/a	n/a	n/a	3	n/a,n/a/,ECC-1+Estradiol_10nM,
20	e	ECC-1+Genistein_100nM	n/a	n/a	n/a	3	n/a,n/a/,ECC-1+Genistein_100nM,
21	e	ECC-1+DMSO_0.02pct	n/a	n/a	n/a	3	n/a,n/a/,ECC-1+DMSO_0.02pct,
22	e	ECC-1+DEX_100nM	n/a	n/a	n/a	3	n/a,n/a/,ECC-1+DEX_100nM,
23	g	GM12891	n/a	n/a	n/a	3	n/a,n/a/,GM12891,
24	g	GM12892	n/a	n/a	n/a	3	n/a,n/a/,GM12892,
25	h	HCT-116	n/a	n/a	n/a	3	n/a,n/a/,HCT-116,
26	h	HTB-11	n/a	n/a	n/a	3	n/a,n/a/,HTB-11,
27	p	PANC-1	n/a	n/a	n/a	3	n/a,n/a/,PANC-1,
28	p	PFSK-1	n/a	n/a	n/a	3	n/a,n/a/,PFSK-1,
29	s	SK-N-SH_RA	n/a	n/a	n/a	3	n/a,n/a/,SK-N-SH_RA,
30	t	T-47D+DMSO_0.02pct	n/a	n/a	n/a	3	n/a,n/a/,T-47D+DMSO_0.02pct,
31	t	T-47D+Genistein_100nM	n/a	n/a	n/a	3	n/a,n/a/,T-47D+Genistein_100nM,
